Unix_Sec,Belt_BPM_step,Radar_BPM_mean,Quality_Flag,t_rel_from_enter,Radar_Rolling_Std,Error
1765494369,11.13,19.727342732862887,breathing,-25,0.08924247255513014,8.597342732862886
1765494370,11.13,19.25963705242264,breathing,-24,0.2594456848679338,8.12963705242264
1765494371,11.13,18.491639623009508,breathing,-23,0.5577539802217615,7.361639623009507
1765494372,19.99,17.73217669307513,breathing,-22,0.8456788968026578,-2.2578233069248697
1765494373,19.99,16.89866356646211,breathing,-21,1.1422505176669577,-3.09133643353789
1765494374,19.99,16.373659879205917,breathing,-20,1.3634566345131933,-3.6163401207940815
1765494375,19.99,16.022044480457637,breathing,-19,1.5201533307280555,-3.967955519542361
1765494376,19.99,15.463305282676481,breathing,-18,1.678803213841285,-4.526694717323517
1765494377,19.99,13.425904536373356,breathing,-17,2.079284544175141,-6.564095463626643
1765494378,19.99,11.283349166880578,breathing,-16,2.6171957010185056,-8.70665083311942
1765494379,19.99,9.976397737330867,breathing,-15,3.0487241691955935,-10.013602262669131
1765494380,19.99,9.375940441601426,breathing,-14,3.2847834294693667,-10.614059558398573
1765494381,19.99,9.216242568781926,breathing,-13,3.3428156079454863,-10.773757431218073
1765494382,20.23,9.187574476932244,breathing,-12,3.253482387473908,-11.042425523067756
1765494383,20.23,9.32094359919308,breathing,-11,3.04870613772859,-10.90905640080692
1765494384,20.23,9.52411283729981,breathing,-10,2.6972238271327647,-10.70588716270019
1765494385,20.23,9.579919214622032,breathing,-9,2.153110063152507,-10.650080785377968
1765494386,20.23,9.529987368132335,breathing,-8,1.3381338575831558,-10.700012631867665
1765494387,20.23,9.348271164532118,breathing,-7,0.6221346508835423,-10.881728835467882
1765494388,20.23,9.089022521352305,breathing,-6,0.2538167351629507,-11.140977478647695
1765494389,20.23,8.907806444262016,breathing,-5,0.21274819862830796,-11.322193555737984
1765494390,20.23,8.878001337501983,breathing,-4,0.2500726367329221,-11.351998662498017
1765494391,20.23,9.047172010974638,breathing,-3,0.25878708702101466,-11.182827989025363
1765494392,18.14,9.299405233372358,breathing,-2,0.2586246121211459,-8.840594766627643
1765494393,18.14,9.661665022438877,breathing,-1,0.2892763009098043,-8.478334977561124
1765494394,18.14,9.916887899062827,breathing,0,0.34618561089682837,-8.223112100937174
1765494395,18.14,10.026297872600429,breathing,1,0.40617227584950105,-8.113702127399572
1765494396,18.14,,presence_only,2,0.4266883620293992,
1765494397,18.14,,presence_only,3,0.4561455508749913,
1765494398,18.14,,presence_only,4,0.47900451338876177,
1765494399,18.14,,presence_only,5,0.46994580080327303,
1765494400,18.14,,presence_only,6,0.4127513003711459,
1765494401,18.14,,breathing_no_rate,7,0.3228720438817567,
1765494402,19.33,,breathing_no_rate,8,0.18711243254528756,
1765494403,19.33,,breathing_no_rate,9,,
1765494404,19.33,,breathing_no_rate,10,,
1765494405,19.33,,breathing_no_rate,11,,
1765494406,19.33,,breathing_no_rate,12,,
1765494407,19.33,,breathing_no_rate,13,,
1765494408,19.33,,breathing_no_rate,14,,
1765494409,19.33,,breathing_no_rate,15,,
1765494410,19.33,,breathing_no_rate,16,,
1765494411,19.33,,breathing_no_rate,17,,
1765494412,19.29,,breathing_no_rate,18,,
1765494413,19.29,,breathing_no_rate,19,,
1765494414,19.29,,breathing_no_rate,20,,
1765494415,19.29,,breathing_no_rate,21,,
1765494416,19.29,19.9677259082938,breathing,22,,0.6777259082938016
1765494417,19.29,20.0659605313712,breathing,23,,0.7759605313712008
1765494418,19.29,20.11560356995025,breathing,24,0.07525764110429474,0.8256035699502497
1765494419,19.29,17.883990752402802,breathing,25,1.0846282911262368,-1.406009247597197
1765494420,19.29,10.939827953148333,breathing,26,3.9453929768478306,-8.350172046851666
1765494421,19.29,9.841557536351424,breathing,27,4.795286467564667,-9.448442463648576
1765494422,20.46,9.432706082161172,breathing,28,5.12204153693713,-11.02729391783883
1765494423,20.46,9.333642276788103,breathing,29,5.213917093108279,-11.126357723211898
1765494424,20.46,9.239952010652953,breathing,30,5.205419714022077,-11.220047989347048
1765494425,20.46,9.183216968901991,breathing,31,5.147283927128336,-11.27678303109801
1765494426,20.46,9.046659143863751,breathing,32,4.7925629199271045,-11.41334085613625
1765494427,20.46,12.343997346017122,breathing,33,3.9953306859214406,-8.116002653982878
1765494428,20.46,20.98260029800791,breathing,34,4.201461363717231,0.5226002980079087
1765494429,20.46,21.014249788844232,breathing,35,4.779996140157016,0.5542497888442313
1765494430,20.46,20.903630010537423,breathing,36,5.488889898560128,0.44363001053742224
1765494431,20.46,20.623699983978035,breathing,37,5.819693954095011,0.16369998397803442
1765494432,19.64,20.279978542644237,breathing,38,5.841098300571423,0.6399785426442364
1765494433,19.64,19.77817141478588,breathing,39,5.584847436660783,0.13817141478588013
1765494434,19.64,19.128640157077488,breathing,40,5.036638082446257,-0.5113598429225128
1765494435,19.64,18.726517757194266,breathing,41,4.147437843231402,-0.9134822428057348
1765494436,19.64,18.642196277938723,breathing,42,2.5911456764814935,-0.9978037220612777
1765494437,19.64,18.834164210292343,breathing,43,0.9884447528703928,-0.8058357897076576
1765494438,19.64,19.185120743327296,breathing,44,0.9296457989557394,-0.45487925667270446
1765494439,19.64,19.460350175099702,breathing,45,0.8098735187516563,-0.17964982490029868
1765494440,19.64,19.641395351281677,breathing,46,0.6612733083440681,0.001395351281676227
1765494441,19.64,19.71735482437408,breathing,47,0.5282140781966926,0.07735482437407981
1765494442,20.03,19.883280228424745,breathing,48,0.46024908638978074,-0.14671977157525617
1765494443,20.03,20.019786027325814,breathing,49,0.4933113719383729,-0.010213972674186778
1765494444,20.03,20.351053340917968,breathing,50,0.5828798863909971,0.3210533409179668
1765494445,20.03,20.69933754919404,breathing,51,0.64301876857748,0.6693375491940401
1765494446,20.03,21.1626000988883,breathing,52,0.6985345942188521,1.1326000988883003
1765494447,20.03,21.69025820452973,breathing,53,0.793786264552062,1.660258204529729
