Unix_Sec,Belt_BPM_step,Radar_BPM_mean,Quality_Flag,t_rel_from_enter,Radar_Rolling_Std
1765494342,14.8,,,-52,
1765494343,14.8,,,-51,
1765494344,14.8,,,-50,
1765494345,14.8,,,-49,
1765494346,14.8,,presence_only,-48,
1765494347,14.8,,presence_only,-47,
1765494348,14.8,,presence_only,-46,
1765494349,14.8,,presence_only,-45,
1765494350,14.8,,presence_only,-44,
1765494351,14.8,,presence_only,-43,
1765494352,10.03,,breathing_no_rate,-42,
1765494353,10.03,,breathing_no_rate,-41,
1765494354,10.03,,breathing_no_rate,-40,
1765494355,10.03,,breathing_no_rate,-39,
1765494356,10.03,,breathing_no_rate,-38,
1765494357,10.03,,breathing_no_rate,-37,
1765494358,10.03,,breathing_no_rate,-36,
1765494359,10.03,,breathing_no_rate,-35,
1765494360,10.03,,breathing_no_rate,-34,
1765494361,10.03,,breathing_no_rate,-33,
1765494362,11.13,,breathing_no_rate,-32,
1765494363,11.13,,breathing_no_rate,-31,
1765494364,11.13,,breathing_no_rate,-30,
1765494365,11.13,,breathing_no_rate,-29,
1765494366,11.13,,breathing_no_rate,-28,
1765494367,11.13,19.68749650754008,breathing,-27,
1765494368,11.13,19.858091002583482,breathing,-26,
1765494369,11.13,19.727342732862887,breathing,-25,0.08924247255513014
1765494370,11.13,19.25963705242264,breathing,-24,0.2594456848679338
1765494371,11.13,18.491639623009508,breathing,-23,0.5577539802217615
1765494372,19.99,17.73217669307513,breathing,-22,0.8456788968026578
1765494373,19.99,16.89866356646211,breathing,-21,1.1422505176669577
1765494374,19.99,16.373659879205917,breathing,-20,1.3634566345131933
1765494375,19.99,16.022044480457637,breathing,-19,1.5201533307280555
1765494376,19.99,15.463305282676481,breathing,-18,1.678803213841285
1765494377,19.99,13.425904536373356,breathing,-17,2.079284544175141
1765494378,19.99,11.283349166880578,breathing,-16,2.6171957010185056
1765494379,19.99,9.976397737330867,breathing,-15,3.0487241691955935
1765494380,19.99,9.375940441601426,breathing,-14,3.2847834294693667
1765494381,19.99,9.216242568781926,breathing,-13,3.3428156079454863
1765494382,20.23,9.187574476932244,breathing,-12,3.253482387473908
1765494383,20.23,9.32094359919308,breathing,-11,3.04870613772859
1765494384,20.23,9.52411283729981,breathing,-10,2.6972238271327647
1765494385,20.23,9.579919214622032,breathing,-9,2.153110063152507
1765494386,20.23,9.529987368132335,breathing,-8,1.3381338575831558
1765494387,20.23,9.348271164532118,breathing,-7,0.6221346508835423
1765494388,20.23,9.089022521352305,breathing,-6,0.2538167351629507
1765494389,20.23,8.907806444262016,breathing,-5,0.21274819862830796
1765494390,20.23,8.878001337501983,breathing,-4,0.2500726367329221
1765494391,20.23,9.047172010974638,breathing,-3,0.25878708702101466
1765494392,18.14,9.299405233372358,breathing,-2,0.2586246121211459
1765494393,18.14,9.661665022438877,breathing,-1,0.2892763009098043
1765494394,18.14,9.916887899062827,breathing,0,0.34618561089682837
1765494395,18.14,10.026297872600429,breathing,1,0.40617227584950105
1765494396,18.14,,presence_only,2,0.4266883620293992
1765494397,18.14,,presence_only,3,0.4561455508749913
1765494398,18.14,,presence_only,4,0.47900451338876177
1765494399,18.14,,presence_only,5,0.46994580080327303
1765494400,18.14,,presence_only,6,0.4127513003711459
1765494401,18.14,,breathing_no_rate,7,0.3228720438817567
1765494402,19.33,,breathing_no_rate,8,0.18711243254528756
1765494403,19.33,,breathing_no_rate,9,
1765494404,19.33,,breathing_no_rate,10,
1765494405,19.33,,breathing_no_rate,11,
1765494406,19.33,,breathing_no_rate,12,
1765494407,19.33,,breathing_no_rate,13,
1765494408,19.33,,breathing_no_rate,14,
1765494409,19.33,,breathing_no_rate,15,
1765494410,19.33,,breathing_no_rate,16,
1765494411,19.33,,breathing_no_rate,17,
1765494412,19.29,,breathing_no_rate,18,
