Unix_Sec,Belt_BPM_step,Radar_BPM_mean,Quality_Flag,t_rel_from_enter,Radar_Rolling_Std
1765494172,18.57,,,-41,
1765494173,18.57,,,-40,
1765494174,18.57,,,-39,
1765494175,18.57,,,-38,
1765494176,18.57,,presence_only,-37,
1765494177,18.57,,presence_only,-36,
1765494178,18.57,,presence_only,-35,
1765494179,18.57,,presence_only,-34,
1765494180,18.57,,presence_only,-33,
1765494181,18.57,,breathing_no_rate,-32,
1765494182,14.77,,breathing_no_rate,-31,
1765494183,14.77,,breathing_no_rate,-30,
1765494184,14.77,,breathing_no_rate,-29,
1765494185,14.77,,breathing_no_rate,-28,
1765494186,14.77,,breathing_no_rate,-27,
1765494187,14.77,,breathing_no_rate,-26,
1765494188,14.77,,breathing_no_rate,-25,
1765494189,14.77,,breathing_no_rate,-24,
1765494190,14.77,,breathing_no_rate,-23,
1765494191,14.77,,breathing_no_rate,-22,
1765494192,18.06,,breathing_no_rate,-21,
1765494193,18.06,,breathing_no_rate,-20,
1765494194,18.06,,breathing_no_rate,-19,
1765494195,18.06,,breathing_no_rate,-18,
1765494196,18.06,14.373813858029953,breathing,-17,
1765494197,18.06,18.257935658557585,breathing,-16,
1765494198,18.06,25.344913881967518,breathing,-15,5.562923365696365
1765494199,18.06,25.280324001724065,breathing,-14,5.430981891311462
1765494200,18.06,25.041144381607996,breathing,-13,5.069024144373308
1765494201,18.06,24.586470614629338,breathing,-12,4.6886822071525245
1765494202,18.87,19.00771795699942,breathing,-11,4.441626204506551
1765494203,18.87,19.941032378374395,breathing,-10,4.158847801311669
1765494204,18.87,19.406562979476117,breathing,-9,3.9511153768697844
1765494205,18.87,18.77113159262421,breathing,-8,3.8066581012555702
1765494206,18.87,18.025683029920692,breathing,-7,3.2320332135690633
1765494207,18.87,16.971959643152253,breathing,-6,3.391119966126722
1765494208,18.87,16.303610687061806,breathing,-5,3.379655786032966
1765494209,18.87,15.844602433664026,breathing,-4,3.154814859979383
1765494210,18.87,15.422580486087494,breathing,-3,2.6693498307290078
1765494211,18.87,14.701210063825886,breathing,-2,1.8355106632361253
1765494212,18.18,14.258984598877348,breathing,-1,1.9923256865430348
1765494213,18.18,13.764240380007763,breathing,0,1.9233595697536952
1765494214,18.18,13.46126423995904,breathing,1,1.7865661891791367
1765494215,18.18,13.216899772359465,breathing,2,1.5971797440878597
1765494216,18.18,12.84503111402652,breathing,3,1.4065843374700386
1765494217,18.18,12.304024824036084,breathing,4,1.3337730547632614
1765494218,18.18,11.782239504750747,breathing,5,1.3122241645195811
1765494219,18.18,10.945517029239525,breathing,6,1.3611306288842877
1765494220,18.18,10.113433788429358,breathing,7,1.4601296788386926
1765494221,18.18,9.571274414750487,breathing,8,1.5896652492069188
1765494222,17.65,9.23762347559802,breathing,9,1.667406624315341
1765494223,17.65,9.037789574932194,breathing,10,1.6945297413263243
1765494224,17.65,8.949369754455725,breathing,11,1.640595897205705
1765494225,17.65,9.017457492921583,breathing,12,1.4832099645435874
1765494226,17.65,9.08591401013167,breathing,13,1.2466496341955653
1765494227,17.65,9.269324830544459,breathing,14,0.96140691768399
1765494228,17.65,9.503345965780737,breathing,15,0.6242219545616883
1765494229,17.65,9.637874509493113,breathing,16,0.3643924070062606
1765494230,17.65,9.926983723322703,breathing,17,0.32296938589701196
1765494231,17.65,10.831474696671282,breathing,18,0.5765871463740396
1765494232,16.29,12.585581862543222,breathing,19,1.1382181437900403
1765494233,16.29,17.568576250774434,breathing,20,2.6753296939416296
1765494234,16.29,17.4003532393161,breathing,21,3.335989980585221
1765494235,16.29,17.75165006256078,breathing,22,3.73799356105965
1765494236,16.29,22.145728724360406,breathing,23,4.640881072219451
1765494237,16.29,22.816145672418582,breathing,24,5.163856490463206
1765494238,16.29,23.022846225483057,breathing,25,5.3271882112206
1765494239,16.29,23.05567862379319,breathing,26,5.129628055278239
1765494240,16.29,22.668148704246516,breathing,27,4.528663449926828
1765494241,16.29,21.785631133062573,breathing,28,3.5582720433205046
1765494242,19.5,15.754653107084895,breathing,29,2.896156550122542
1765494243,19.5,8.289576486495744,breathing,30,4.778053447748328
1765494244,19.5,8.426133557137584,breathing,31,5.916838778224927
1765494245,19.5,8.351017151063292,breathing,32,6.749748947166577
1765494246,19.5,10.898412548148793,breathing,33,6.850298043037373
1765494247,19.5,18.35853093866444,breathing,34,6.531747240091637
1765494248,19.5,18.037521942884883,breathing,35,6.118533911264874
1765494249,19.5,17.737027751912702,breathing,36,5.6043681270811145
1765494250,19.5,17.64005128607754,breathing,37,5.04017245479452
1765494251,19.5,17.684204180797533,breathing,38,4.5244411030827
1765494252,19.3,18.02216469548035,breathing,39,4.670071560018463
1765494253,19.3,18.33327167744879,breathing,40,4.2875460072272595
1765494254,19.3,18.60777169412678,breathing,41,3.6175157763619525
1765494255,19.3,18.807291816758447,breathing,42,2.3224391705868364
1765494256,19.3,18.957711222547637,breathing,43,0.47147684405815704
1765494257,19.3,19.128062578933513,breathing,44,0.552670992991615
1765494258,19.3,19.268560909541595,breathing,45,0.6216230357962856
1765494259,19.3,19.404175702785615,breathing,46,0.6417491732837404
1765494260,19.3,19.519845100128013,breathing,47,0.6085497360180261
1765494261,19.3,19.553278426871362,breathing,48,0.5170284269822066
1765494262,19.64,19.64067344121053,breathing,49,0.4380511189312326
1765494263,19.64,19.63795903740695,breathing,50,0.3652596983658591
1765494264,19.64,19.659503290638124,breathing,51,0.3055096981025738
1765494265,19.64,19.65680473691296,breathing,52,0.24818505247767045
1765494266,19.64,19.627306941817142,breathing,53,0.18512732499632045
1765494267,19.64,19.515772902490077,breathing,54,0.12818013134840633
1765494268,19.64,19.42993858607155,breathing,55,0.09486486675569174
1765494269,19.64,19.26444547677004,breathing,56,0.12621748613511188
1765494270,19.64,19.215068169390825,breathing,57,0.1652256898948201
1765494271,19.64,19.286167514792588,breathing,58,0.1801762197559227
1765494272,19.38,19.396778663516212,breathing,59,0.17443605187418007
1765494273,19.38,19.49163809874017,breathing,60,0.16454257072121703
1765494274,19.38,19.480513946789138,breathing,61,0.1487199352073349
1765494275,19.38,19.377778875021,breathing,62,0.12743429442629073
1765494276,19.38,19.147945079499358,breathing,63,0.12615173072526306
1765494277,19.38,19.001296310486566,breathing,64,0.1569802167430146
1765494278,19.38,19.000723087371508,breathing,65,0.17760938739911583
1765494279,19.38,19.34219886733334,breathing,66,0.17921697494983607
1765494280,19.38,19.65510330413621,breathing,67,0.21381784409296864
1765494281,19.38,19.798720313358515,breathing,68,0.26146076269183877
1765494282,19.48,19.752207331881632,breathing,69,0.28838769027307776
1765494283,19.48,19.422036493769504,breathing,70,0.28689539036617556
1765494284,19.48,18.886751878801658,breathing,71,0.32658436222997295
1765494285,19.48,18.480319099959416,breathing,72,0.4235119743697217
1765494286,19.48,18.330052299249353,breathing,73,0.5143688774222934
1765494287,19.48,18.416429684628973,breathing,74,0.5659603572991367
1765494288,19.48,18.525877788343823,breathing,75,0.5951695972607821
1765494289,19.48,18.625306810602932,breathing,76,0.6006811449312195
1765494290,19.48,18.60243298835952,breathing,77,0.5620280789013686
1765494291,19.48,18.549913530123625,breathing,78,0.46688832507912226
1765494292,19.65,18.47658010015224,breathing,79,0.3149565874300004
1765494293,19.65,18.32798270110907,breathing,80,0.16343929057014062
1765494294,19.65,16.502470092581827,breathing,81,0.6340499534656333
1765494295,19.65,11.277370859894095,breathing,82,2.2968684637462236
1765494296,19.65,11.45430645068378,breathing,83,2.9718437233584134
1765494297,19.65,11.355907976608867,breathing,84,3.3763592328216743
1765494298,19.65,8.316381555445462,breathing,85,4.059285887683801
1765494299,19.65,7.214020655464476,breathing,86,4.547949308277954
1765494300,19.65,9.636450459756013,breathing,87,4.423580892054202
1765494301,19.65,17.768947255769557,breathing,88,4.322634598190056
1765494302,19.38,17.1958970344884,breathing,89,4.159323775425365
1765494303,19.38,16.816781866381437,breathing,90,3.9632283632818077
1765494304,19.38,16.452701528236997,breathing,91,3.9580258015920182
1765494305,19.38,16.25129632039132,breathing,92,4.063678353905269
1765494306,19.38,16.080292581127463,breathing,93,4.100161513994989
1765494307,19.38,16.017719013517766,breathing,94,4.0678010229851775
1765494308,19.38,15.939929732318308,breathing,95,3.5261250402164532
1765494309,19.38,15.137099568072879,breathing,96,2.2611141774285275
1765494310,19.38,14.412852631586953,breathing,97,0.9625556821072089
1765494311,19.38,19.77604864275384,breathing,98,1.4233291314753718
1765494312,19.99,21.471725881086833,breathing,99,2.1453963606759467
1765494313,19.99,21.890707861346396,breathing,100,2.6750568920490907
1765494314,19.99,21.837965605851753,breathing,101,2.998424388685257
1765494315,19.99,,,102,3.121735481455883
