Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM
0.728,1770684398.7279465,18:46:38,8.05
1.727,1770684399.7274272,18:46:39,nan
2.727,1770684400.7274222,18:46:40,nan
3.727,1770684401.7274723,18:46:41,nan
4.727,1770684402.7274158,18:46:42,nan
5.727,1770684403.727365,18:46:43,nan
6.727,1770684404.72741,18:46:44,nan
7.727,1770684405.7273998,18:46:45,nan
8.727,1770684406.7273989,18:46:46,nan
9.727,1770684407.727399,18:46:47,nan
10.727,1770684408.7274194,18:46:48,12.24
11.727,1770684409.7274187,18:46:49,nan
12.727,1770684410.7274008,18:46:50,nan
13.727,1770684411.7274005,18:46:51,nan
14.728,1770684412.7275715,18:46:52,nan
15.727,1770684413.7273996,18:46:53,nan
16.727,1770684414.7273986,18:46:54,nan
17.727,1770684415.72743,18:46:55,nan
18.727,1770684416.7274263,18:46:56,nan
19.727,1770684417.7273986,18:46:57,nan
20.727,1770684418.727485,18:46:58,0.00
21.727,1770684419.7273984,18:46:59,nan
22.727,1770684420.7273982,18:47:00,nan
23.727,1770684421.7273989,18:47:01,nan
24.727,1770684422.7274196,18:47:02,nan
25.727,1770684423.7274115,18:47:03,nan
26.727,1770684424.7273974,18:47:04,nan
27.727,1770684425.7274058,18:47:05,nan
28.727,1770684426.7273986,18:47:06,nan
29.727,1770684427.7274048,18:47:07,nan
30.727,1770684428.7274194,18:47:08,0.00
31.727,1770684429.7274253,18:47:09,nan
32.728,1770684430.7277138,18:47:10,nan
33.727,1770684431.7274227,18:47:11,nan
34.727,1770684432.7274222,18:47:12,nan
35.727,1770684433.7274153,18:47:13,nan
36.731,1770684434.7312994,18:47:14,nan
37.727,1770684435.72741,18:47:15,nan
38.727,1770684436.7273986,18:47:16,nan
39.727,1770684437.7274027,18:47:17,nan
40.727,1770684438.7274003,18:47:18,19.27
41.727,1770684439.7274063,18:47:19,nan
42.727,1770684440.7274015,18:47:20,nan
43.727,1770684441.727398,18:47:21,nan
44.727,1770684442.727408,18:47:22,nan
45.727,1770684443.7274008,18:47:23,nan
46.727,1770684444.7273986,18:47:24,nan
