Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM,Is_New_Value
0.544,1765494171.5438433,17:02:51,18.57,True
1.544,1765494172.5435677,17:02:52,nan,True
2.544,1765494173.5435615,17:02:53,nan,True
3.544,1765494174.5435402,17:02:54,nan,True
4.544,1765494175.5435376,17:02:55,nan,True
5.544,1765494176.5435324,17:02:56,nan,True
6.544,1765494177.5435312,17:02:57,nan,True
7.544,1765494178.5435324,17:02:58,nan,True
8.544,1765494179.5435314,17:02:59,nan,True
9.544,1765494180.5435567,17:03:00,nan,True
10.544,1765494181.5435395,17:03:01,14.77,True
11.544,1765494182.5435328,17:03:02,nan,True
12.544,1765494183.5435364,17:03:03,nan,True
13.544,1765494184.5435407,17:03:04,nan,True
14.544,1765494185.5435328,17:03:05,nan,True
15.544,1765494186.5435548,17:03:06,nan,True
16.544,1765494187.5435328,17:03:07,nan,True
17.544,1765494188.5435336,17:03:08,nan,True
18.544,1765494189.5435338,17:03:09,nan,True
19.544,1765494190.543538,17:03:10,nan,True
20.544,1765494191.5435326,17:03:11,18.06,True
21.544,1765494192.543559,17:03:12,nan,True
22.544,1765494193.5435448,17:03:13,nan,True
23.544,1765494194.5435479,17:03:14,nan,True
24.544,1765494195.5435467,17:03:15,nan,True
25.544,1765494196.543566,17:03:16,nan,True
26.544,1765494197.5435393,17:03:17,nan,True
27.544,1765494198.5435345,17:03:18,nan,True
28.544,1765494199.543533,17:03:19,nan,True
29.544,1765494200.5435321,17:03:20,nan,True
30.544,1765494201.5435567,17:03:21,18.87,True
31.544,1765494202.5435607,17:03:22,nan,True
32.544,1765494203.543559,17:03:23,nan,True
33.544,1765494204.5435414,17:03:24,nan,True
34.544,1765494205.543533,17:03:25,nan,True
35.544,1765494206.5435328,17:03:26,nan,True
36.544,1765494207.5435407,17:03:27,nan,True
37.544,1765494208.543537,17:03:28,nan,True
38.544,1765494209.5435617,17:03:29,nan,True
39.544,1765494210.5435612,17:03:30,nan,True
40.544,1765494211.543536,17:03:31,18.18,True
41.544,1765494212.5435333,17:03:32,nan,True
42.544,1765494213.5435328,17:03:33,nan,True
43.544,1765494214.5435324,17:03:34,nan,True
44.544,1765494215.5435379,17:03:35,nan,True
45.544,1765494216.5435765,17:03:36,nan,True
46.544,1765494217.5435605,17:03:37,nan,True
47.544,1765494218.54355,17:03:38,nan,True
48.544,1765494219.5435607,17:03:39,nan,True
49.544,1765494220.5435348,17:03:40,nan,True
50.544,1765494221.5435328,17:03:41,17.65,True
51.544,1765494222.5435357,17:03:42,nan,True
52.544,1765494223.5435355,17:03:43,nan,True
53.544,1765494224.5435364,17:03:44,nan,True
54.544,1765494225.5435627,17:03:45,nan,True
55.544,1765494226.5435612,17:03:46,nan,True
56.544,1765494227.5435328,17:03:47,nan,True
57.544,1765494228.5435333,17:03:48,nan,True
58.544,1765494229.5435336,17:03:49,nan,True
59.544,1765494230.543531,17:03:50,nan,True
60.544,1765494231.5435314,17:03:51,16.29,True
61.544,1765494232.543532,17:03:52,nan,True
62.544,1765494233.5435305,17:03:53,nan,True
63.544,1765494234.5435333,17:03:54,nan,True
64.544,1765494235.543534,17:03:55,nan,True
65.544,1765494236.5435555,17:03:56,nan,True
66.546,1765494237.5460272,17:03:57,nan,True
67.544,1765494238.5435355,17:03:58,nan,True
68.544,1765494239.5435348,17:03:59,nan,True
69.544,1765494240.5435343,17:04:00,nan,True
70.544,1765494241.5435321,17:04:01,19.50,True
71.544,1765494242.5435681,17:04:02,nan,True
72.544,1765494243.5435414,17:04:03,nan,True
73.544,1765494244.54354,17:04:04,nan,True
74.544,1765494245.543535,17:04:05,nan,True
75.544,1765494246.543536,17:04:06,nan,True
76.544,1765494247.5435374,17:04:07,nan,True
77.544,1765494248.5435593,17:04:08,nan,True
78.544,1765494249.5435586,17:04:09,nan,True
79.544,1765494250.543554,17:04:10,nan,True
80.544,1765494251.5435433,17:04:11,19.30,True
81.544,1765494252.5435455,17:04:12,nan,True
82.544,1765494253.543538,17:04:13,nan,True
83.544,1765494254.5435355,17:04:14,nan,True
84.544,1765494255.5435362,17:04:15,nan,True
85.544,1765494256.5435646,17:04:16,nan,True
86.544,1765494257.543548,17:04:17,nan,True
87.544,1765494258.5435843,17:04:18,nan,True
88.544,1765494259.5435603,17:04:19,nan,True
89.544,1765494260.5435424,17:04:20,nan,True
90.544,1765494261.5435383,17:04:21,19.64,True
91.544,1765494262.5435402,17:04:22,nan,True
92.544,1765494263.5436118,17:04:23,nan,True
93.544,1765494264.543533,17:04:24,nan,True
94.544,1765494265.5435548,17:04:25,nan,True
95.544,1765494266.5435622,17:04:26,nan,True
96.544,1765494267.5435774,17:04:27,nan,True
97.544,1765494268.5435688,17:04:28,nan,True
98.544,1765494269.5435593,17:04:29,nan,True
99.544,1765494270.5435681,17:04:30,nan,True
100.544,1765494271.543535,17:04:31,19.38,True
101.544,1765494272.5435383,17:04:32,nan,True
102.544,1765494273.543569,17:04:33,nan,True
103.544,1765494274.5435433,17:04:34,nan,True
104.544,1765494275.5435345,17:04:35,nan,True
105.544,1765494276.5435379,17:04:36,nan,True
106.544,1765494277.5435357,17:04:37,nan,True
107.544,1765494278.543536,17:04:38,nan,True
108.544,1765494279.543539,17:04:39,nan,True
109.544,1765494280.5435507,17:04:40,nan,True
110.544,1765494281.5435636,17:04:41,19.48,True
111.544,1765494282.5435374,17:04:42,nan,True
112.544,1765494283.5435355,17:04:43,nan,True
113.544,1765494284.543537,17:04:44,nan,True
114.544,1765494285.5435355,17:04:45,nan,True
115.544,1765494286.5435362,17:04:46,nan,True
116.544,1765494287.5435553,17:04:47,nan,True
117.544,1765494288.5435545,17:04:48,nan,True
118.544,1765494289.543532,17:04:49,nan,True
119.544,1765494290.5435307,17:04:50,nan,True
120.544,1765494291.5435324,17:04:51,19.65,True
121.544,1765494292.5435324,17:04:52,nan,True
122.544,1765494293.543532,17:04:53,nan,True
123.544,1765494294.5435622,17:04:54,nan,True
124.544,1765494295.5435636,17:04:55,nan,True
125.544,1765494296.5435376,17:04:56,nan,True
126.544,1765494297.5435376,17:04:57,nan,True
127.544,1765494298.5435383,17:04:58,nan,True
128.544,1765494299.5435362,17:04:59,nan,True
129.544,1765494300.5435505,17:05:00,nan,True
130.544,1765494301.543565,17:05:01,19.38,True
131.544,1765494302.5435412,17:05:02,nan,True
132.544,1765494303.5435376,17:05:03,nan,True
133.544,1765494304.5435343,17:05:04,nan,True
134.544,1765494305.5435355,17:05:05,nan,True
135.544,1765494306.5435364,17:05:06,nan,True
136.544,1765494307.5435572,17:05:07,nan,True
137.544,1765494308.5435612,17:05:08,nan,True
138.544,1765494309.543565,17:05:09,nan,True
139.544,1765494310.5435557,17:05:10,nan,True
140.544,1765494311.5435364,17:05:11,19.99,True
141.544,1765494312.5435362,17:05:12,nan,True
142.544,1765494313.5435386,17:05:13,nan,True
143.544,1765494314.543542,17:05:14,nan,True
