Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM
0.628,1770683490.6284084,18:31:30,7.27
1.628,1770683491.6284378,18:31:31,nan
2.628,1770683492.6278577,18:31:32,nan
3.628,1770683493.6278224,18:31:33,nan
4.628,1770683494.6278143,18:31:34,nan
5.628,1770683495.6278358,18:31:35,nan
6.628,1770683496.6278362,18:31:36,nan
7.628,1770683497.627854,18:31:37,nan
8.628,1770683498.6278427,18:31:38,nan
9.628,1770683499.627843,18:31:39,nan
10.628,1770683500.62784,18:31:40,12.94
11.628,1770683501.6278496,18:31:41,nan
12.628,1770683502.627819,18:31:42,nan
13.628,1770683503.6278136,18:31:43,nan
14.628,1770683504.6278167,18:31:44,nan
15.628,1770683505.627817,18:31:45,nan
16.628,1770683506.6278183,18:31:46,nan
17.628,1770683507.6278162,18:31:47,nan
18.628,1770683508.6278176,18:31:48,nan
19.628,1770683509.6278207,18:31:49,nan
20.628,1770683510.627816,18:31:50,21.67
21.630,1770683511.6295183,18:31:51,nan
22.628,1770683512.6278365,18:31:52,nan
23.628,1770683513.6278336,18:31:53,nan
24.628,1770683514.627814,18:31:54,nan
25.628,1770683515.627815,18:31:55,nan
26.628,1770683516.6278107,18:31:56,nan
27.628,1770683517.627815,18:31:57,nan
28.628,1770683518.6278124,18:31:58,nan
29.628,1770683519.627834,18:31:59,nan
30.628,1770683520.6278183,18:32:00,19.88
31.628,1770683521.6278234,18:32:01,nan
32.628,1770683522.6278164,18:32:02,nan
33.628,1770683523.6278133,18:32:03,nan
34.628,1770683524.6278176,18:32:04,nan
35.628,1770683525.6278334,18:32:05,nan
36.628,1770683526.6278448,18:32:06,nan
37.628,1770683527.6278358,18:32:07,nan
38.628,1770683528.6278272,18:32:08,nan
39.628,1770683529.6278503,18:32:09,nan
40.628,1770683530.6279714,18:32:10,20.12
41.628,1770683531.6278353,18:32:11,nan
42.628,1770683532.627811,18:32:12,nan
43.628,1770683533.6278236,18:32:13,nan
44.628,1770683534.6278117,18:32:14,nan
45.628,1770683535.6278102,18:32:15,nan
46.628,1770683536.627812,18:32:16,nan
47.628,1770683537.627833,18:32:17,nan
48.628,1770683538.6278343,18:32:18,nan
49.628,1770683539.6278384,18:32:19,nan
50.628,1770683540.6278408,18:32:20,22.43
51.628,1770683541.627837,18:32:21,nan
52.628,1770683542.6278336,18:32:22,nan
53.628,1770683543.6278408,18:32:23,nan
54.628,1770683544.6278155,18:32:24,nan
55.628,1770683545.6278124,18:32:25,nan
56.628,1770683546.6278362,18:32:26,nan
57.628,1770683547.6278155,18:32:27,nan
58.628,1770683548.6278272,18:32:28,nan
59.628,1770683549.6278272,18:32:29,nan
60.628,1770683550.628012,18:32:30,21.23
61.628,1770683551.6278431,18:32:31,nan
62.628,1770683552.6278396,18:32:32,nan
63.628,1770683553.6278381,18:32:33,nan
64.628,1770683554.6278403,18:32:34,nan
65.628,1770683555.6278386,18:32:35,nan
66.628,1770683556.6278474,18:32:36,nan
67.628,1770683557.6278155,18:32:37,nan
68.628,1770683558.6278226,18:32:38,nan
69.628,1770683559.6278133,18:32:39,nan
70.628,1770683560.6278129,18:32:40,20.50
71.628,1770683561.6278193,18:32:41,nan
72.628,1770683562.6278288,18:32:42,nan
73.628,1770683563.627815,18:32:43,nan
74.628,1770683564.627812,18:32:44,nan
75.628,1770683565.627813,18:32:45,nan
76.628,1770683566.627816,18:32:46,nan
77.628,1770683567.627816,18:32:47,nan
78.628,1770683568.627853,18:32:48,nan
79.628,1770683569.6278183,18:32:49,nan
80.628,1770683570.627819,18:32:50,20.82
81.628,1770683571.627816,18:32:51,nan
82.628,1770683572.627814,18:32:52,nan
83.628,1770683573.6278148,18:32:53,nan
84.628,1770683574.6278372,18:32:54,nan
85.628,1770683575.627855,18:32:55,nan
86.628,1770683576.6278334,18:32:56,nan
87.628,1770683577.627839,18:32:57,nan
88.628,1770683578.6278365,18:32:58,nan
89.628,1770683579.627842,18:32:59,nan
90.628,1770683580.627835,18:33:00,22.03
91.628,1770683581.6278346,18:33:01,nan
92.628,1770683582.6278405,18:33:02,nan
93.628,1770683583.6279578,18:33:03,nan
94.628,1770683584.6278162,18:33:04,nan
95.628,1770683585.6278174,18:33:05,nan
96.628,1770683586.627817,18:33:06,nan
97.628,1770683587.6278148,18:33:07,nan
98.628,1770683588.6278148,18:33:08,nan
99.628,1770683589.6278384,18:33:09,nan
100.628,1770683590.627824,18:33:10,22.87
101.628,1770683591.6278324,18:33:11,nan
102.628,1770683592.6279016,18:33:12,nan
103.628,1770683593.627819,18:33:13,nan
104.628,1770683594.627822,18:33:14,nan
105.628,1770683595.6278126,18:33:15,nan
106.629,1770683596.629203,18:33:16,nan
107.628,1770683597.6278152,18:33:17,nan
108.628,1770683598.6278336,18:33:18,nan
109.628,1770683599.6278253,18:33:19,nan
110.628,1770683600.6278224,18:33:20,24.72
111.628,1770683601.6278126,18:33:21,nan
112.628,1770683602.6278143,18:33:22,nan
