Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM
0.503,1771525772.5029542,12:29:32,11.01
1.503,1771525773.5026133,12:29:33,nan
2.503,1771525774.5026119,12:29:34,nan
3.503,1771525775.5025764,12:29:35,nan
4.503,1771525776.5025768,12:29:36,nan
5.503,1771525777.5025752,12:29:37,nan
6.503,1771525778.5025733,12:29:38,nan
7.503,1771525779.502574,12:29:39,nan
8.503,1771525780.502574,12:29:40,nan
9.503,1771525781.5025752,12:29:41,nan
10.503,1771525782.5025935,12:29:42,4.84
11.503,1771525783.5025768,12:29:43,nan
12.503,1771525784.5025747,12:29:44,nan
13.503,1771525785.502564,12:29:45,nan
14.503,1771525786.5025737,12:29:46,nan
15.503,1771525787.5025725,12:29:47,nan
16.503,1771525788.5025914,12:29:48,nan
17.503,1771525789.502574,12:29:49,nan
18.503,1771525790.5025754,12:29:50,nan
19.503,1771525791.5025723,12:29:51,nan
20.503,1771525792.502575,12:29:52,18.43
21.503,1771525793.5025728,12:29:53,nan
22.503,1771525794.5025766,12:29:54,nan
23.503,1771525795.5025806,12:29:55,nan
24.503,1771525796.5025764,12:29:56,nan
25.503,1771525797.5025759,12:29:57,nan
26.503,1771525798.502576,12:29:58,nan
27.503,1771525799.5026047,12:29:59,nan
28.503,1771525800.502577,12:30:00,nan
29.503,1771525801.5025756,12:30:01,nan
30.503,1771525802.502575,12:30:02,17.56
31.503,1771525803.5025723,12:30:03,nan
32.503,1771525804.502574,12:30:04,nan
33.503,1771525805.5025942,12:30:05,nan
34.503,1771525806.5025928,12:30:06,nan
35.503,1771525807.5026014,12:30:07,nan
36.503,1771525808.502602,12:30:08,nan
37.503,1771525809.5025764,12:30:09,nan
38.503,1771525810.5025768,12:30:10,nan
39.503,1771525811.502577,12:30:11,nan
40.503,1771525812.5025752,12:30:12,12.93
41.503,1771525813.5025733,12:30:13,nan
42.503,1771525814.5025883,12:30:14,nan
43.503,1771525815.502602,12:30:15,nan
44.503,1771525816.5025802,12:30:16,nan
45.503,1771525817.5025783,12:30:17,nan
46.503,1771525818.5025754,12:30:18,nan
47.503,1771525819.502575,12:30:19,nan
48.503,1771525820.5025756,12:30:20,nan
49.503,1771525821.502575,12:30:21,nan
50.503,1771525822.502573,12:30:22,16.94
51.503,1771525823.5027068,12:30:23,nan
52.503,1771525824.5025923,12:30:24,nan
53.503,1771525825.5025768,12:30:25,nan
54.503,1771525826.502575,12:30:26,nan
55.503,1771525827.502578,12:30:27,nan
56.503,1771525828.5025744,12:30:28,nan
57.503,1771525829.5025768,12:30:29,nan
58.503,1771525830.5025747,12:30:30,nan
59.503,1771525831.502593,12:30:31,nan
60.503,1771525832.5025947,12:30:32,17.23
61.503,1771525833.5025992,12:30:33,nan
62.503,1771525834.5025885,12:30:34,nan
63.503,1771525835.5025873,12:30:35,nan
64.503,1771525836.5025928,12:30:36,nan
65.503,1771525837.5026035,12:30:37,nan
66.503,1771525838.502579,12:30:38,nan
67.503,1771525839.5025778,12:30:39,nan
68.503,1771525840.5025716,12:30:40,nan
69.503,1771525841.502571,12:30:41,nan
70.503,1771525842.502582,12:30:42,17.49
71.503,1771525843.5025651,12:30:43,nan
72.503,1771525844.5025668,12:30:44,nan
73.503,1771525845.5025587,12:30:45,nan
74.503,1771525846.5025718,12:30:46,nan
75.503,1771525847.5025718,12:30:47,nan
76.503,1771525848.5025923,12:30:48,nan
77.503,1771525849.5025964,12:30:49,nan
78.503,1771525850.5025928,12:30:50,nan
79.503,1771525851.5025773,12:30:51,nan
80.503,1771525852.5025737,12:30:52,22.17
81.503,1771525853.5025725,12:30:53,nan
82.503,1771525854.5025842,12:30:54,nan
83.503,1771525855.5025754,12:30:55,nan
84.503,1771525856.5025895,12:30:56,nan
85.503,1771525857.502592,12:30:57,nan
86.503,1771525858.502599,12:30:58,nan
87.503,1771525859.5026042,12:30:59,nan
88.503,1771525860.502596,12:31:00,nan
89.503,1771525861.5025783,12:31:01,nan
90.503,1771525862.5025764,12:31:02,22.96
91.503,1771525863.502575,12:31:03,nan
92.503,1771525864.5025756,12:31:04,nan
93.503,1771525865.5025737,12:31:05,nan
94.503,1771525866.502573,12:31:06,nan
95.503,1771525867.5025756,12:31:07,nan
96.503,1771525868.5025752,12:31:08,nan
97.503,1771525869.502573,12:31:09,nan
98.503,1771525870.502573,12:31:10,nan
99.503,1771525871.502591,12:31:11,nan
100.503,1771525872.5025902,12:31:12,23.04
101.503,1771525873.502593,12:31:13,nan
102.503,1771525874.5025957,12:31:14,nan
103.503,1771525875.5026011,12:31:15,nan
104.503,1771525876.5025973,12:31:16,nan
105.503,1771525877.5025878,12:31:17,nan
106.503,1771525878.5025725,12:31:18,nan
107.503,1771525879.5025733,12:31:19,nan
108.503,1771525880.5025747,12:31:20,nan
109.503,1771525881.5025747,12:31:21,nan
