Unix_Sec,Belt_BPM_step,Radar_BPM_mean,Quality_Flag,t_rel_from_enter,Radar_Rolling_Std
1765495368,5.09,,,-54,
1765495369,5.09,,,-53,
1765495370,5.09,,,-52,
1765495371,5.09,,,-51,
1765495372,5.09,,presence_only,-50,
1765495373,5.09,,presence_only,-49,
1765495374,5.09,,presence_only,-48,
1765495375,5.09,,presence_only,-47,
1765495376,5.09,,presence_only,-46,
1765495377,5.09,,breathing_no_rate,-45,
1765495378,8.95,,breathing_no_rate,-44,
1765495379,8.95,,breathing_no_rate,-43,
1765495380,8.95,,breathing_no_rate,-42,
1765495381,8.95,,breathing_no_rate,-41,
1765495382,8.95,,breathing_no_rate,-40,
1765495383,8.95,,breathing_no_rate,-39,
1765495384,8.95,,breathing_no_rate,-38,
1765495385,8.95,,breathing_no_rate,-37,
1765495386,8.95,,breathing_no_rate,-36,
1765495387,8.95,,breathing_no_rate,-35,
1765495388,8.16,,breathing_no_rate,-34,
1765495389,8.16,,breathing_no_rate,-33,
1765495390,8.16,,breathing_no_rate,-32,
1765495391,8.16,,breathing_no_rate,-31,
1765495392,8.16,8.800080876221404,breathing,-30,
1765495393,8.16,9.000688648236453,breathing,-29,
1765495394,8.16,9.308808395920957,breathing,-28,0.25625018582291353
1765495395,8.16,9.484641413079931,breathing,-27,0.3065582603074252
1765495396,8.16,9.519590522668079,breathing,-26,0.3130766228408075
1765495397,8.16,9.468138162434078,breathing,-25,0.29740290844387096
1765495398,10.17,9.356372861217883,breathing,-24,0.2737427284436602
1765495399,10.17,9.24787742076588,breathing,-23,0.25364419992832093
1765495400,10.17,9.231712386842736,breathing,-22,0.2376665619197102
1765495401,10.17,9.23304615640771,breathing,-21,0.22435697243711733
1765495402,10.17,9.347609337743092,breathing,-20,0.1540618379806556
1765495403,10.17,9.6092274536161,breathing,-19,0.13269037987037927
1765495404,10.17,9.878323263888259,breathing,-18,0.2023428546506199
1765495405,10.17,10.226270130938088,breathing,-17,0.32200588304089883
1765495406,10.17,10.797080786329575,breathing,-16,0.5187415458343272
1765495407,10.17,11.135770961736387,breathing,-15,0.6954596938081457
1765495408,10.73,11.36604623749658,breathing,-14,0.8286103488723858
1765495409,10.73,11.514681918331629,breathing,-13,0.9043726851379098
1765495410,10.73,11.67564006271031,breathing,-12,0.9331898719344474
1765495411,10.73,11.747594459405168,breathing,-11,0.8984799401700333
1765495412,10.73,11.981965492186339,breathing,-10,0.8319155342414355
1765495413,10.73,12.299587035041135,breathing,-9,0.767093465100297
1765495414,10.73,12.605242205489176,breathing,-8,0.7024090730478161
1765495415,10.73,12.942475485652192,breathing,-7,0.6642379382545871
1765495416,10.73,13.16315971706901,breathing,-6,0.6857405214680887
1765495417,10.73,13.206505328720715,breathing,-5,0.6938740333495761
1765495418,10.21,13.498396908927774,breathing,-4,0.7191309053321812
1765495419,10.21,13.946908660465041,breathing,-3,0.7719308549536312
1765495420,10.21,15.213187817460238,breathing,-2,1.0181972662979595
1765495421,10.21,13.748115432634961,breathing,-1,0.9237247918397784
1765495422,10.21,5.166884642333033,breathing,0,2.726568363866354
