Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM,Is_New_Value
115.448,1765495292.4475372,17:21:32,nan,True
116.448,1765495293.4475918,17:21:33,nan,True
117.448,1765495294.4475565,17:21:34,nan,True
118.448,1765495295.447541,17:21:35,nan,True
119.448,1765495296.4475386,17:21:36,nan,True
120.448,1765495297.4475546,17:21:37,20.47,True
121.448,1765495298.4475827,17:21:38,nan,True
122.448,1765495299.4475493,17:21:39,nan,True
123.448,1765495300.447573,17:21:40,nan,True
124.448,1765495301.4475598,17:21:41,nan,True
125.448,1765495302.4475424,17:21:42,nan,True
126.448,1765495303.4475396,17:21:43,nan,True
127.448,1765495304.4475422,17:21:44,nan,True
128.448,1765495305.4475582,17:21:45,nan,True
129.448,1765495306.447548,17:21:46,nan,True
130.448,1765495307.4475658,17:21:47,22.63,True
131.448,1765495308.4475632,17:21:48,nan,True
132.448,1765495309.4475424,17:21:49,nan,True
133.448,1765495310.4475384,17:21:50,nan,True
134.448,1765495311.4475403,17:21:51,nan,True
135.448,1765495312.447539,17:21:52,nan,True
136.448,1765495313.4475396,17:21:53,nan,True
137.448,1765495314.4475582,17:21:54,nan,True
138.448,1765495315.4475665,17:21:55,nan,True
139.448,1765495316.4478006,17:21:56,nan,True
140.448,1765495317.4475646,17:21:57,23.01,True
141.448,1765495318.447564,17:21:58,nan,True
142.448,1765495319.4475675,17:21:59,nan,True
143.448,1765495320.4475627,17:22:00,nan,True
144.448,1765495321.4475415,17:22:01,nan,True
145.448,1765495322.447547,17:22:02,nan,True
146.448,1765495323.447542,17:22:03,nan,True
147.448,1765495324.4475386,17:22:04,nan,True
148.448,1765495325.4475448,17:22:05,nan,True
149.448,1765495326.447575,17:22:06,nan,True
150.448,1765495327.4475656,17:22:07,23.13,True
151.448,1765495328.4475412,17:22:08,nan,True
152.448,1765495329.4475403,17:22:09,nan,True
153.448,1765495330.447541,17:22:10,nan,True
154.448,1765495331.447541,17:22:11,nan,True
155.448,1765495332.4475403,17:22:12,nan,True
156.448,1765495333.4475658,17:22:13,nan,True
157.448,1765495334.4475424,17:22:14,nan,True
158.448,1765495335.4475403,17:22:15,nan,True
159.448,1765495336.4475417,17:22:16,nan,True
160.448,1765495337.4475439,17:22:17,21.14,True
161.448,1765495338.447539,17:22:18,nan,True
