Unix_Sec,Belt_BPM_step,Radar_BPM_mean,Quality_Flag,t_rel_from_enter,Radar_Rolling_Std,Error
1765493682,13.69,9.028308176599447,breathing,-7,0.6177671026811649,-4.661691823400552
1765493683,13.69,9.929470872330072,breathing,-6,0.9435698032869171,-3.760529127669928
1765493684,13.69,10.692999107508523,breathing,-5,1.1982531790735858,-2.997000892491476
1765493685,13.69,11.256612828315337,breathing,-4,1.380493314051704,-2.4333871716846627
1765493686,17.96,11.305922709444154,breathing,-3,1.4367212325759455,-6.654077290555847
1765493687,17.96,11.33477630570204,breathing,-2,1.4445409784627428,-6.625223694297961
1765493688,17.96,11.26673356268681,breathing,-1,1.42172749439585,-6.693266437313191
1765493689,17.96,11.027467891252616,breathing,0,1.3729581448698804,-6.932532108747385
1765493690,17.96,10.67211930186703,breathing,1,1.1025002364095067,-7.287880698132971
1765493691,17.96,10.457435617741188,breathing,2,0.7420823951954454,-7.502564382258813
1765493692,17.96,,presence_only,3,0.4823855991275007,
1765493693,17.96,,presence_only,4,0.34631158020216546,
1765493694,17.96,,presence_only,5,0.3489438260165626,
1765493695,17.96,,presence_only,6,0.3684439176976763,
1765493696,16.91,,presence_only,7,0.37887894540306416,
1765493697,16.91,,breathing_no_rate,8,0.36091040456082335,
1765493698,16.91,,breathing_no_rate,9,0.287894221619899,
1765493699,16.91,,breathing_no_rate,10,,
1765493700,16.91,,breathing_no_rate,11,,
1765493701,16.91,,breathing_no_rate,12,,
1765493702,16.91,,breathing_no_rate,13,,
1765493703,16.91,,breathing_no_rate,14,,
1765493704,16.91,,breathing_no_rate,15,,
1765493705,16.91,,breathing_no_rate,16,,
1765493706,18.28,,breathing_no_rate,17,,
1765493707,18.28,,breathing_no_rate,18,,
1765493708,18.28,,breathing_no_rate,19,,
1765493709,18.28,,breathing_no_rate,20,,
1765493710,18.28,,breathing_no_rate,21,,
1765493711,18.28,,breathing_no_rate,22,,
1765493712,18.28,20.990916896794506,breathing,23,,2.7109168967945045
1765493713,18.28,20.88768684346203,breathing,24,,2.60768684346203
1765493714,18.28,20.58094690455039,breathing,25,0.21323743752570767,2.30094690455039
1765493715,18.28,20.19444930503057,breathing,26,0.35790368029570424,1.914449305030569
1765493716,20.27,19.756988700134094,breathing,27,0.5103173778018288,-0.5130112998659051
1765493717,20.27,19.442282688261013,breathing,28,0.6233588665766758,-0.8277173117389864
1765493718,20.27,19.35026739747845,breathing,29,0.6746036191124539,-0.9197326025215489
1765493719,20.27,19.328567222399503,breathing,30,0.6920878860377605,-0.9414327776004967
