Unix_Sec,Belt_BPM_step,Radar_BPM_mean,Quality_Flag,t_rel_from_enter,Radar_Rolling_Std
1765494760,16.48,,,-59,
1765494761,16.48,,,-58,
1765494762,16.48,,,-57,
1765494763,16.48,,,-56,
1765494764,16.48,,presence_only,-55,
1765494765,16.48,,presence_only,-54,
1765494766,16.48,,presence_only,-53,
1765494767,16.48,,presence_only,-52,
1765494768,16.48,,presence_only,-51,
1765494769,16.48,,breathing_no_rate,-50,
1765494770,14.54,,breathing_no_rate,-49,
1765494771,14.54,,breathing_no_rate,-48,
1765494772,14.54,,breathing_no_rate,-47,
1765494773,14.54,,breathing_no_rate,-46,
1765494774,14.54,,breathing_no_rate,-45,
1765494775,14.54,,breathing_no_rate,-44,
1765494776,14.54,,breathing_no_rate,-43,
1765494777,14.54,,breathing_no_rate,-42,
1765494778,14.54,,breathing_no_rate,-41,
1765494779,14.54,,breathing_no_rate,-40,
1765494780,21.03,,breathing_no_rate,-39,
1765494781,21.03,,breathing_no_rate,-38,
1765494782,21.03,,breathing_no_rate,-37,
1765494783,21.03,,breathing_no_rate,-36,
1765494784,21.03,7.763204134626953,breathing,-35,
1765494785,21.03,6.509861662477067,breathing,-34,
1765494786,21.03,6.907943546156626,breathing,-33,0.6404174696762609
1765494787,21.03,7.262456704351527,breathing,-32,0.5325750399485232
1765494788,21.03,7.686523853320064,breathing,-31,0.5282077288601431
1765494789,21.03,8.166863873489111,breathing,-30,0.6088849059760327
1765494790,19.68,8.805222333116923,breathing,-29,0.7732967118047159
1765494791,19.68,9.19897445882586,breathing,-28,0.9152963545348902
1765494792,19.68,9.253969482093964,breathing,-27,0.985876147799559
1765494793,19.68,9.177287618899596,breathing,-26,1.0071959817731972
1765494794,19.68,9.063160446793386,breathing,-25,1.045883429280337
1765494795,19.68,8.830893700134173,breathing,-24,0.8713088795141829
1765494796,19.68,8.486563685294012,breathing,-23,0.6874368727308297
1765494797,19.68,23.37676389371658,breathing,-22,4.655572400227518
1765494798,19.68,24.451455317672565,breathing,-21,6.356049845537354
1765494799,19.68,24.483852873421828,breathing,-20,7.318190718465706
1765494800,20.41,24.18424120388325,breathing,-19,7.8178552325270525
1765494801,20.41,23.41343363504213,breathing,-18,7.927146176421773
1765494802,20.41,22.554756441022384,breathing,-17,7.69387470739017
1765494803,20.41,21.30445615587886,breathing,-16,7.117507705874537
1765494804,20.41,21.07307116112137,breathing,-15,6.20666317180706
1765494805,20.41,21.222958709570936,breathing,-14,4.74625315613461
1765494806,20.41,12.250172055757803,breathing,-13,3.6189799729653402
1765494807,20.41,9.742174163898353,breathing,-12,5.196658537684928
1765494808,20.41,9.640710127684915,breathing,-11,5.98586766689649
1765494809,20.41,9.612526963387866,breathing,-10,6.307180293975211
1765494810,20.1,9.700802487979185,breathing,-9,6.264465639699924
1765494811,20.1,9.945656452667023,breathing,-8,5.945465974148916
1765494812,20.1,10.542043148977353,breathing,-7,5.368752935746416
1765494813,20.1,11.300313250160992,breathing,-6,4.635629438807288
1765494814,20.1,11.974794562968716,breathing,-5,3.526996518564559
1765494815,20.1,12.422745806362684,breathing,-4,1.1628091510006893
1765494816,20.1,12.460268993932067,breathing,-3,1.1951141997614327
1765494817,20.1,12.238784393394042,breathing,-2,1.2252444777884801
1765494818,20.1,11.91959100598588,breathing,-1,1.1577375615256562
1765494819,20.1,11.767607815049393,breathing,0,1.0192710319146285
1765494820,20.95,11.85522141855802,breathing,1,0.8225003113209568
1765494821,20.95,14.189879105964499,breathing,2,0.9366227790740314
1765494822,20.95,16.21092923573918,breathing,3,1.4729778071504693
1765494823,20.95,16.171827817372876,breathing,4,1.7604033748657888
1765494824,20.95,15.926744716744574,breathing,5,1.9115584573761588
1765494825,20.95,15.513370804749508,breathing,6,1.9642178339913876
1765494826,20.95,14.941776063179228,breathing,7,1.92902331623319
1765494827,20.95,14.120202305194727,breathing,8,1.8187886512762617
1765494828,20.95,12.172839186289474,breathing,9,1.7839834735524076
1765494829,20.95,10.357327326772692,breathing,10,2.042318587817325
1765494830,17.66,9.810003112872652,breathing,11,2.372868538070728
1765494831,17.66,9.260687790059581,breathing,12,2.790720039462515
1765494832,17.66,8.647989411080575,breathing,13,2.9774750163313985
1765494833,17.66,8.10239245876864,breathing,14,3.022809627573062
1765494834,17.66,7.779210887878977,breathing,15,2.908329168324376
1765494835,17.66,7.8712416286741815,breathing,16,2.5987725309531275
1765494836,17.66,8.176799476972464,breathing,17,2.088436897424529
1765494837,17.66,8.690360127891045,breathing,18,1.3753943711382473
1765494838,17.66,9.282625563149052,breathing,19,0.863150273277507
1765494839,17.66,9.861072676997123,breathing,20,0.7730973263405235
1765494840,20.58,10.4658478585272,breathing,21,0.8918731917201148
1765494841,20.58,10.99095716357803,breathing,22,1.1254521392531702
1765494842,20.58,11.432780575639805,breathing,23,1.3536792615571045
1765494843,20.58,11.771304692708819,breathing,24,1.4934460569358974
1765494844,20.58,12.07203790987181,breathing,25,1.5183932240163873
1765494845,20.58,12.21597146140015,breathing,26,1.441699830459319
1765494846,20.58,12.276291000627943,breathing,27,1.2830885626222208
1765494847,20.58,12.38206589261704,breathing,28,1.0915962897768745
1765494848,20.58,16.59730973497648,breathing,29,1.8175016398829755
1765494849,20.58,19.491566361408335,breathing,30,2.8260160092575943
1765494850,20.53,19.423234545442465,breathing,31,3.3205455902712826
1765494851,20.53,19.5518416783072,breathing,32,3.589790354525824
1765494852,20.53,19.563020055897965,breathing,33,3.681709809124891
1765494853,20.53,19.4880784187739,breathing,34,3.6133966514964806
1765494854,20.53,19.300949941896672,breathing,35,3.38830083190059
