Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM
0.395,1770682776.3954284,18:19:36,12.64
1.394,1770682777.3942482,18:19:37,nan
2.394,1770682778.394172,18:19:38,nan
3.394,1770682779.3941944,18:19:39,nan
4.394,1770682780.3941596,18:19:40,nan
5.394,1770682781.394149,18:19:41,nan
6.394,1770682782.394164,18:19:42,nan
7.394,1770682783.3941748,18:19:43,nan
8.394,1770682784.3941472,18:19:44,nan
9.394,1770682785.3941474,18:19:45,nan
10.394,1770682786.3941464,18:19:46,12.61
11.394,1770682787.394147,18:19:47,nan
12.394,1770682788.394147,18:19:48,nan
13.394,1770682789.3941445,18:19:49,nan
14.394,1770682790.3941464,18:19:50,nan
15.394,1770682791.394192,18:19:51,nan
16.394,1770682792.394146,18:19:52,nan
17.394,1770682793.3941662,18:19:53,nan
18.394,1770682794.394168,18:19:54,nan
19.394,1770682795.394149,18:19:55,nan
20.394,1770682796.3941483,18:19:56,11.18
21.394,1770682797.3941495,18:19:57,nan
22.394,1770682798.3941483,18:19:58,nan
23.394,1770682799.3941472,18:19:59,nan
24.394,1770682800.3941634,18:20:00,nan
25.394,1770682801.3941479,18:20:01,nan
26.394,1770682802.394149,18:20:02,nan
27.394,1770682803.3941457,18:20:03,nan
28.394,1770682804.3941436,18:20:04,nan
29.394,1770682805.3941455,18:20:05,nan
30.394,1770682806.394166,18:20:06,23.84
31.394,1770682807.39417,18:20:07,nan
32.394,1770682808.39417,18:20:08,nan
33.394,1770682809.3941689,18:20:09,nan
34.394,1770682810.394147,18:20:10,nan
35.394,1770682811.394146,18:20:11,nan
36.394,1770682812.3941448,18:20:12,nan
37.394,1770682813.3941438,18:20:13,nan
38.394,1770682814.394145,18:20:14,nan
39.394,1770682815.394144,18:20:15,nan
40.394,1770682816.3941436,18:20:16,22.74
41.394,1770682817.3941445,18:20:17,nan
42.394,1770682818.3941438,18:20:18,nan
43.394,1770682819.3941665,18:20:19,nan
44.394,1770682820.3941472,18:20:20,nan
45.394,1770682821.3941448,18:20:21,nan
46.394,1770682822.3941438,18:20:22,nan
47.394,1770682823.394145,18:20:23,nan
48.394,1770682824.394146,18:20:24,nan
49.394,1770682825.3941689,18:20:25,nan
50.394,1770682826.394149,18:20:26,20.01
51.394,1770682827.394147,18:20:27,nan
52.394,1770682828.3941438,18:20:28,nan
53.394,1770682829.394145,18:20:29,nan
54.394,1770682830.3941472,18:20:30,nan
55.394,1770682831.3942158,18:20:31,nan
56.394,1770682832.3941498,18:20:32,nan
57.394,1770682833.3941462,18:20:33,nan
58.394,1770682834.3941476,18:20:34,nan
59.394,1770682835.3941476,18:20:35,nan
60.394,1770682836.3941479,18:20:36,17.19
61.394,1770682837.3941753,18:20:37,nan
62.394,1770682838.394185,18:20:38,nan
63.394,1770682839.3941672,18:20:39,nan
64.394,1770682840.3941686,18:20:40,nan
65.394,1770682841.3941622,18:20:41,nan
66.394,1770682842.3944466,18:20:42,nan
67.394,1770682843.3941479,18:20:43,nan
68.394,1770682844.3941453,18:20:44,nan
69.394,1770682845.394146,18:20:45,nan
70.394,1770682846.394146,18:20:46,19.85
71.394,1770682847.3941457,18:20:47,nan
72.394,1770682848.3941689,18:20:48,nan
73.394,1770682849.3941734,18:20:49,nan
74.394,1770682850.394174,18:20:50,nan
75.394,1770682851.3941703,18:20:51,nan
76.394,1770682852.3941693,18:20:52,nan
77.394,1770682853.394182,18:20:53,nan
78.394,1770682854.3941514,18:20:54,nan
79.394,1770682855.3941486,18:20:55,nan
80.394,1770682856.3941445,18:20:56,21.19
81.394,1770682857.3941464,18:20:57,nan
82.394,1770682858.3941457,18:20:58,nan
83.394,1770682859.3941627,18:20:59,nan
84.394,1770682860.3941593,18:21:00,nan
85.394,1770682861.3941476,18:21:01,nan
86.394,1770682862.3941503,18:21:02,nan
87.394,1770682863.394151,18:21:03,nan
88.394,1770682864.3941474,18:21:04,nan
89.394,1770682865.3941464,18:21:05,nan
90.394,1770682866.3941703,18:21:06,22.39
91.394,1770682867.3941696,18:21:07,nan
