t_rel_enter_s,belt_bpm,radar_bpm_hat,radar_support_count,radar_valid_fraction_in_support,error,abs_error,phase
-33.52537512779236,0.0,,0,0.0,,,pre_enter
-23.525687217712402,11.19,,0,0.0,,,pre_enter
-13.525694370269775,20.49,,0,0.0,,,pre_enter
-3.525709867477417,19.44,7.437995625606706,111,0.21595330739299612,-12.002004374393294,12.002004374393294,pre_enter
6.474332571029663,21.7,7.90341833378105,211,0.35225375626043404,-13.796581666218948,13.796581666218948,cold_grace
16.474284887313843,22.01,21.614603558095933,150,0.3516666666666667,-0.39539644190406875,0.39539644190406875,eval
26.47429394721985,21.63,21.243561318421172,90,0.31666666666666665,-0.3864386815788272,0.3864386815788272,eval
36.474289417266846,21.46,21.130994487661333,290,0.4825291181364393,-0.3290055123386679,0.3290055123386679,eval
46.47428917884827,20.94,20.475676095454833,450,0.8166666666666667,-0.4643239045451679,0.4643239045451679,eval
56.47429156303406,20.83,19.615298601322024,450,1.0,-1.214701398677974,1.214701398677974,eval
66.47431349754333,21.37,21.212711061011817,450,1.0,-0.1572889389881844,0.1572889389881844,eval
76.47428750991821,21.02,21.497867852857016,450,1.0,0.47786785285701683,0.47786785285701683,eval
