t_rel_enter_s,belt_bpm_ffill,radar_bpm_1hz,radar_valid_1hz,Peak_To_Noise,PSD_Peak_Ratio_1_2,Bandpower_6_30_BPM,Motion_RMS,Sweep_Energy_STD,phase_1hz
-34.0,,,False,,,,,,pre_enter
-33.0,0.0,,False,,,,,,pre_enter
-32.0,0.0,,False,,,,,,pre_enter
-31.0,0.0,,False,,,,,,pre_enter
-30.0,0.0,,False,11.136996075609282,,,,4902.698308293959,pre_enter
-29.0,0.0,,False,12.49836623770089,,,,5922.644743382256,pre_enter
-28.0,0.0,,False,17.775961142640767,,,,7208.738561915078,pre_enter
-27.0,0.0,,False,14.045541232710804,,,,7067.668434991485,pre_enter
-26.0,0.0,,False,21.575864359818414,,,,13768.318931316066,pre_enter
-25.0,0.0,,False,20.09972915702331,0.4999914012014836,0.00029073329270978024,1.842555005635516e-05,12425.442808853699,pre_enter
-24.0,0.0,,False,13.719528390316274,1.00018513063043,1.372836514689085,0.009533615875100746,8382.695654693003,pre_enter
-23.0,11.19,,False,12.332948816764603,1.0029040044154174,17.152238508990457,0.1649586340989099,6288.350418324499,pre_enter
-22.0,11.19,,False,14.821221918748732,1.0015039704973416,45.18954160619181,0.47441529546917505,9183.186360425498,pre_enter
-21.0,11.19,,False,32.4773687487269,1.0020052748282073,90.90895075701911,0.6691325330529861,23292.039749310075,pre_enter
-20.0,11.19,,False,35.49929864698554,1.0021156901760606,157.95941403110555,0.7233618622492237,32395.29444908118,pre_enter
-19.0,11.19,,False,24.377318965745005,1.009917684648395,243.55835134266522,1.0327893962837806,18663.45508024508,pre_enter
-18.0,11.19,,False,22.198883488403638,1.006635799944106,338.45686907164827,1.1984320811460516,18789.894749055096,pre_enter
-17.0,11.19,,False,27.354352315506084,1.0205273771063066,434.70300696698234,1.4431102849110196,23170.313288623292,pre_enter
-16.0,11.19,,False,25.125358807711173,1.0297588214958475,522.3929472887935,1.5514969155785767,20206.55499675627,pre_enter
-15.0,11.19,,False,29.753368918129482,1.0277537497932114,615.9438202521042,1.6185292752435587,26580.099701939434,pre_enter
-14.0,11.19,,False,32.07013623786359,1.0213814303043804,734.735210648867,1.7023107469465124,35260.305738046416,pre_enter
-13.0,20.49,,False,27.14285145890769,1.0794061521023401,857.6142856903099,1.8006828797953878,22446.372635077892,pre_enter
-12.0,20.49,,False,17.097670701610745,1.044426333050989,956.0651809015825,1.9371120786475071,13827.637809110089,pre_enter
-11.0,20.49,,False,22.156296942530503,1.019112079022635,1006.483086309376,1.9450387671401694,18702.433851599173,pre_enter
-10.0,20.49,7.927510068988984,True,21.223963184899894,1.0223975166736576,1013.5165579762506,2.013654469130306,15926.254241482791,pre_enter
-9.0,20.49,7.854570854020109,True,18.477946885566304,1.04774161372183,986.2494192272352,2.033403457204885,12792.601011306911,pre_enter
-8.0,20.49,7.687334868317261,True,13.549193691023422,1.0827011386861671,946.4845644400434,2.0777587149981724,10344.960018328962,pre_enter
-7.0,20.49,7.463517255759177,True,18.487050707963846,1.126686965929038,921.1053469845191,2.037796022745689,12939.23823436812,pre_enter
-6.0,20.49,7.3006056219212745,True,17.835251216076276,1.1590573191030438,907.872953383167,2.001673300252243,13467.671293662466,pre_enter
-5.0,20.49,7.211825882814752,True,16.305208394343904,1.0978898749544963,885.996557303759,1.9875095193232133,12728.637186395168,pre_enter
-4.0,20.49,21.169093101590757,True,31.779476482644114,1.0235106528080289,842.5254387878747,1.866617983600195,34262.40711195681,pre_enter
-3.0,19.44,21.52388470127934,True,27.15974890306491,1.1141208847119743,770.5036788237873,1.8815362293652678,30537.667023374106,pre_enter
-2.0,19.44,22.257200476694912,True,25.092885590140195,1.0119753967426153,702.7907700490263,1.8376836568460813,27476.618196349908,pre_enter
-1.0,19.44,22.48668797598713,True,15.598696771700162,1.0463239024630129,652.6594259008921,1.8021086705797047,14302.991280318472,pre_enter
0.0,19.44,22.658843840512773,True,20.494721893862334,1.0995817925701592,614.1553735085926,1.778700478454191,46715.41225426081,cold_grace
1.0,19.44,22.714035418795934,True,28.03509746091762,1.1184456888643615,613.3252540084833,1.8122619109488707,85977.13632845302,cold_grace
2.0,19.44,,False,20.085589815759178,,,,18197.67572334844,cold_grace
3.0,19.44,,False,21.07597871644601,,,,19433.28939505831,cold_grace
4.0,19.44,,False,42.14976952599933,,,,63118.36171419488,cold_grace
5.0,19.44,,False,40.88235973313722,,,,61085.4160613407,cold_grace
6.0,19.44,,False,20.65569401326111,0.49999726320971344,0.0009134738340418804,6.809686802933353e-05,27252.0882680342,cold_grace
7.0,21.7,,False,8.266766909882747,1.0003397440601103,3.1659530118799117,0.09662026631830958,5776.813004299301,cold_grace
8.0,21.7,,False,16.15277707167475,1.003014168018214,22.440664351784978,0.3527533288003363,13754.64600221996,cold_grace
9.0,21.7,,False,22.90700228134012,1.0062957417404448,69.13540759690656,0.819193165158046,29478.265517615597,cold_grace
10.0,21.7,,False,18.679079955907408,1.016099392169281,151.057577240611,0.9867049840315614,20631.623270037286,cold_grace
11.0,21.7,,False,26.143241588942722,1.0116976976104706,272.08329325950353,1.0501686505613097,29114.669475578703,cold_grace
12.0,21.7,,False,24.57454409651953,1.0267004942068931,435.78526767022845,1.2492594709954457,32876.8292878606,cold_grace
13.0,21.7,,False,21.25266012406859,1.0197188797025984,623.9995061496846,1.4025419949660407,25332.67665169733,cold_grace
14.0,21.7,,False,38.87975688115813,1.0079680409465759,810.5475094433034,2.118623696880335,66721.96308450718,cold_grace
15.0,21.7,,False,32.20354853271913,1.0136491194661494,968.0401577854799,2.226498417908914,55844.43624148318,eval
16.0,21.7,,False,30.110570968515134,1.0364670657840618,1095.0207895929047,2.27862494490504,46638.657189385434,eval
17.0,22.01,,False,14.59730723952474,1.0564129515867995,1196.5712419197414,2.3454748372367877,13710.506301054316,eval
18.0,22.01,,False,12.021929582822235,1.1052862112798711,1299.5969777209689,2.672069020332503,11486.594907291239,eval
19.0,22.01,,False,16.11416806139112,1.1455449912844402,1391.1510105469124,2.740433000008246,15781.377071170307,eval
20.0,22.01,,False,19.35074722466216,1.1811776182886735,1458.4631183753725,2.7695545262127697,26721.941899100777,eval
21.0,22.01,20.995424456426903,True,10.098297261638052,1.2216267617742194,1494.3319880249908,2.883931473869004,9866.764617586845,eval
22.0,22.01,21.071087629916406,True,12.374139132098978,1.2831947990157593,1505.2493773702358,3.306832009851729,12488.67041792463,eval
23.0,22.01,21.16866703451717,True,17.674666463812038,1.2677202133715784,1490.3942861384373,3.3812296774752535,16910.00352320819,eval
