t_rel_enter_s,phase,belt_bpm,radar_bpm_hat,abs_error,valid_fraction_in_window,Peak_To_Noise,PresenceBin_To_Noise,PSD_Peak_Ratio_1_2,Bandpower_6_30_BPM,Motion_RMS,Motion_P2P,Intra_Presence_Score,Inter_Presence_Score,Intra_Over_Inter_Max,Sweep_Energy_STD,Frame_Energy,feature_coverage_count
-33.52537512779236,pre_enter,0.0,,,0.0,,,,,,,,,,,,0
-23.525687217712402,pre_enter,11.19,,,0.0,17.33841924832995,12.278685110174425,1.0000732605578042,0.11355467429869318,0.003964291200936638,0.0553497857529814,1.5330078059255814,17.558746964259385,0.07896032588242086,9344.20308248917,205065.140625,114
-13.525694370269775,pre_enter,20.49,,,0.0,21.26761185269128,16.46626672413995,1.0035196343302775,210.52615331100856,0.881003395699277,5.5409897522624645,1.7767079094885065,21.220297933992132,0.08475599934020298,13712.385533689916,433864.3515625,314
-3.525709867477417,pre_enter,19.44,7.437995625606706,12.002004374393294,0.21595330739299612,19.86275135576956,15.261854753788333,1.0267910817206558,688.645417963006,1.6844969965925363,7.745953869714997,1.5357989326885262,21.287191255858733,0.08516667268299885,13827.637809110089,438478.8671875,514
6.474332571029663,cold_grace,21.7,7.90341833378105,13.796581666218948,0.35225375626043404,22.711159716275606,17.344805090603312,1.0292110510650336,692.9182072542574,1.7998243700999774,7.745953869714997,1.801118693933997,21.4917307836053,0.08543155561791925,19715.936502030483,691323.71875,599
16.474284887313843,eval,22.01,21.614603558095933,0.39539644190406875,0.3516666666666667,22.194709213252498,16.84090104501698,1.0302613199733344,793.2094061519626,1.8592245388974504,7.745953869714997,1.6739176006745091,22.457645409518612,0.07610535944540937,22495.599850703326,742171.4921875,600
26.47429394721985,eval,21.63,21.243561318421172,0.3864386815788272,0.31666666666666665,21.9510700970517,17.103110115492893,1.051634821152802,819.3339844784717,1.9547974132976282,11.093775611301385,1.688335579828887,25.848327098841846,0.07227110990261054,25278.39626183166,830677.1953125,600
36.474289417266846,eval,21.46,21.130994487661333,0.3290055123386679,0.4825291181364393,19.053864360346704,15.452873554093664,1.0505739741219453,1358.8797605577754,2.907036411315337,12.753506522805182,1.5011370164094155,24.670597331021686,0.06730077744155442,19393.853379895907,631566.578125,601
46.47428917884827,eval,20.94,20.475676095454833,0.4643239045451679,0.8166666666666667,17.900230668379162,14.59891043518597,1.118289874485253,1479.3349022061257,3.4669675733932643,15.245764705124078,1.5163888845824183,24.193955605776463,0.0637520033385669,17596.573173509023,560229.65625,600
56.47429156303406,eval,20.83,19.615298601322024,1.214701398677974,1.0,20.821224172800996,15.779274385238585,1.115968833570075,1661.3715020351033,3.58225055309273,15.946630634418193,1.599189345642305,27.839146741471577,0.05793864087257504,22010.92701783747,694571.609375,600
66.47431349754333,eval,21.37,21.212711061011817,0.1572889389881844,1.0,22.282218923921526,16.345093370190177,1.1274712351373704,1700.34455217191,3.805491271458817,16.240172422245994,1.599453562492264,28.649936041629445,0.05680791629771027,28062.10821137974,950428.8046875,600
76.47428750991821,eval,21.02,21.497867852857016,0.47786785285701683,1.0,24.06576652550015,16.84767180025603,1.1316379317802485,1824.6138951371768,4.03251559393457,17.07593270225702,1.6893526057475352,31.11429303412455,0.05654671888927865,37650.73613772902,1379038.515625,600
