Timestamp,Unix_Time,Quality_Flag,Breath_Rate_BPM,App_State,Distances_Being_Analyzed,Presence_Detected,Presence_Distance_m,Intra_Presence_Score,Inter_Presence_Score,Presence_Distance_Index,Radar_Enter_Time,Intra_Max_All,Inter_Max_All,Intra_Over_Inter_Max,Signal_Peak_Bin,Signal_Peak_Value,Noise_Median,Peak_To_Noise,Signal_At_PresenceBin,Noise_At_PresenceBin,PresenceBin_To_Noise,FastSlow_Diff_Max,FastSlow_Diff_AtPresenceBin,Frame_Energy,Sweep_Energy_STD,Sweep_Energy_P2P,Bin_Energy_STD,PSD_Peak_Idx,PSD_Peak_Freq_Hz,PSD_Peak_BPM,PSD_Peak_Height,PSD_Peak_Ratio_1_2,Bandpower_6_30_BPM,Motion_RMS,Motion_P2P,Rate_Hist_Last,Rate_Hist_Valid_Frac_10s,Buffer_Coverage_s,DBA_Start_Idx,DBA_End_Idx,Timestamp_Unix_ms,Frame_Idx,Breath_Valid,Inter_Frame_Dt_ms,Sweeps_Per_Frame,Resp_Waveform_Value
6.129543781280518,1771545737.1295438,presence_only,,AppState.NO_PRESENCE_DETECTED,,False,0.0,0.11802604858873089,0.0,0,,1.2402568967005323,0.0,1240256896.7005322,1,199.75707903601315,26.82975529949892,7.445355978788912,157.46768021565566,21.573357912539105,7.2991733992802015,0.0,0.0,25590.671875,3035.3327475628985,9334.249999999996,11595.527281848454,,,,,,,,,,,,,,1771545737129,0,False,,16,
6.175715446472168,1771545737.1757154,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.40036384016275356,0.21209336490433545,1.1502482876820013,0,6.175715446472168,1.106516633587257,2.3004965753640025,0.48099034137061686,1,144.6346825842612,25.352648338736508,5.7049141630528535,108.48244745695037,21.293330006785364,5.09466802126706,27.561198225875955,24.49261637935264,13236.46875,1162.2176601860938,4835.500000000004,6100.7487198197905,,,,,,,,,,,,,,1771545737175,1,False,46.17166519165039,16,
6.230180025100708,1771545737.23018,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.40036384016275356,0.2997924451505399,2.4378752235879673,0,6.175715446472168,1.1336644113829157,5.0131290953999,0.2261390819153329,1,153.69268494710477,25.28826395080649,6.077628944399151,57.18842212371312,19.95215436910314,2.866278050124042,50.52442780839326,50.52442780839326,11950.28125,1147.836408595945,3737.499999999998,9311.47991419102,,,,,,,,,,,,,,1771545737230,2,False,54.46457862854004,16,
6.27404522895813,1771545737.2740452,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.40036384016275356,0.3784741021424576,2.8153539530842755,0,6.175715446472168,1.1266054147865414,3.9477901415732015,0.28537621659195156,1,165.28768717375775,24.049071999971314,6.872934106026293,102.778223769678,19.93976654954559,5.154434657454192,13.596088977313293,3.7009696218212866,15343.734375,2386.691117014748,8180.750000000004,9436.806098390654,,,,,,,,,,,,,,1771545737274,3,False,43.865203857421875,16,
6.328695297241211,1771545737.3286953,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.40036384016275356,0.4515562085058307,2.897801254403022,0,6.175715446472168,1.146445135032139,3.2275904596780083,0.3552015501964612,1,201.4034449959831,24.16304828210268,8.335183650517529,103.64290406245861,20.07368562636764,5.163122805966241,30.425523854820682,2.269031463232537,22436.4375,3209.553906284136,11986.25,14646.802312399646,,,,,,,,,,,,,,1771545737328,4,False,54.650068283081055,16,
6.373348951339722,1771545737.373349,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.40036384016275356,0.5132306277505104,3.0413707408782638,0,6.175715446472168,1.0996514784301472,3.7592181732544714,0.29252132423738086,1,74.62285382173481,23.52992699621129,3.1714018420277683,61.12758813539104,20.980840396802357,2.913495693041632,81.94355160474099,37.320289491916746,4229.6875,1024.9862403802065,3354.000000000001,1845.3161520920676,,,,,,,,,,,,,,1771545737373,5,False,44.65365409851074,16,
6.428041934967041,1771545737.428042,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.6405821442604057,0.5747925399584531,3.2220842305919133,2,6.175715446472168,1.160143636386672,4.306365168873814,0.26940205733195327,0,119.92979717317961,24.254339196724466,4.944673866209944,73.50959227372982,23.324263649810856,3.151636140555044,48.64994320436516,48.64994320436516,10121.015625,1587.124196337391,4967.5,5058.225884669624,,,,,,,,,,,,,,1771545737428,6,False,54.692983627319336,16,
6.472679853439331,1771545737.4726799,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.40036384016275356,0.6352199523974726,3.398706128126304,0,6.175715446472168,1.2097838484314982,4.635059410867041,0.2610071934211059,1,199.88403864803715,24.082395626550515,8.300006433719064,180.73480658827174,22.22584580854877,8.131740323269211,69.31582289760948,69.31582289760948,26047.34375,3743.171470193883,15362.75,12438.846174360951,,,,,,,,,,,,,,1771545737472,7,False,44.63791847229004,16,
6.527128458023071,1771545737.5271285,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.40036384016275356,0.6868785861766054,3.6699495258079153,0,6.175715446472168,1.1780660239621676,5.839896707260806,0.20172720217734988,1,257.6987097367777,24.362419748208296,10.57771405260974,206.9887998932551,22.145534711456882,9.346751053015836,89.24310685327094,84.95094773563808,41517.5,3714.2641883605293,14504.0,19394.7701643643,,,,,,,,,,,,,,1771545737527,8,False,54.448604583740234,16,
6.581749439239502,1771545737.5817494,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.40036384016275356,0.7307736046784103,4.028608226758456,0,6.175715446472168,1.1481420113156149,7.256536535313318,0.1582217640013328,1,302.8706922929322,24.140961529145144,12.54592497961332,239.32669225349687,21.858754983232267,10.9487796732309,120.97358046848288,105.55995608629186,57203.359375,3070.9069048907795,10693.25,26428.98222663689,,,,,,,,,,,,,,1771545737581,9,False,54.620981216430664,16,
