Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM
0.920,1771545731.92033,18:02:11,0.00
1.920,1771545732.9199522,18:02:12,nan
2.920,1771545733.9199975,18:02:13,nan
3.920,1771545734.9199276,18:02:14,nan
4.920,1771545735.9199166,18:02:15,nan
5.920,1771545736.9199336,18:02:16,nan
6.920,1771545737.9199314,18:02:17,nan
7.920,1771545738.9199216,18:02:18,nan
8.920,1771545739.9199297,18:02:19,nan
9.920,1771545740.9199343,18:02:20,nan
10.920,1771545741.9199097,18:02:21,3.87
11.920,1771545742.9199092,18:02:22,nan
12.920,1771545743.9199095,18:02:23,nan
13.920,1771545744.9199064,18:02:24,nan
14.920,1771545745.9199085,18:02:25,nan
15.920,1771545746.9199173,18:02:26,nan
16.920,1771545747.9199166,18:02:27,nan
17.920,1771545748.9199085,18:02:28,nan
18.920,1771545749.9199054,18:02:29,nan
19.920,1771545750.9199135,18:02:30,nan
20.920,1771545751.919918,18:02:31,6.16
21.920,1771545752.9199271,18:02:32,nan
22.920,1771545753.9199262,18:02:33,nan
23.920,1771545754.919936,18:02:34,nan
24.920,1771545755.9199104,18:02:35,nan
25.920,1771545756.91991,18:02:36,nan
26.920,1771545757.9199083,18:02:37,nan
27.920,1771545758.919912,18:02:38,nan
28.920,1771545759.9199095,18:02:39,nan
29.920,1771545760.9199312,18:02:40,nan
30.920,1771545761.9199107,18:02:41,9.25
31.920,1771545762.9199097,18:02:42,nan
32.920,1771545763.9199114,18:02:43,nan
33.920,1771545764.9199123,18:02:44,nan
34.920,1771545765.919911,18:02:45,nan
35.920,1771545766.9199326,18:02:46,nan
36.920,1771545767.919924,18:02:47,nan
37.920,1771545768.9199088,18:02:48,nan
38.920,1771545769.919908,18:02:49,nan
39.920,1771545770.9199119,18:02:50,nan
40.920,1771545771.919908,18:02:51,20.82
41.920,1771545772.9199069,18:02:52,nan
42.920,1771545773.9199224,18:02:53,nan
43.920,1771545774.9199352,18:02:54,nan
44.920,1771545775.919924,18:02:55,nan
45.920,1771545776.9199133,18:02:56,nan
46.920,1771545777.9199088,18:02:57,nan
47.920,1771545778.9199114,18:02:58,nan
48.920,1771545779.9199097,18:02:59,nan
49.920,1771545780.919912,18:03:00,nan
50.920,1771545781.9199276,18:03:01,18.99
51.920,1771545782.9199076,18:03:02,nan
52.920,1771545783.9199088,18:03:03,nan
53.920,1771545784.9199104,18:03:04,nan
54.920,1771545785.9199095,18:03:05,nan
55.920,1771545786.91991,18:03:06,nan
56.920,1771545787.9199271,18:03:07,nan
57.920,1771545788.919912,18:03:08,nan
58.920,1771545789.9199076,18:03:09,nan
59.920,1771545790.919911,18:03:10,nan
60.920,1771545791.9199102,18:03:11,18.62
61.920,1771545792.9199119,18:03:12,nan
62.920,1771545793.919924,18:03:13,nan
63.920,1771545794.9199367,18:03:14,nan
64.920,1771545795.9199076,18:03:15,nan
65.920,1771545796.9199128,18:03:16,nan
66.920,1771545797.9199107,18:03:17,nan
67.920,1771545798.919911,18:03:18,nan
68.920,1771545799.9199085,18:03:19,nan
69.920,1771545800.9199312,18:03:20,nan
70.920,1771545801.9199338,18:03:21,19.27
71.920,1771545802.9199307,18:03:22,nan
72.920,1771545803.9199266,18:03:23,nan
73.920,1771545804.919925,18:03:24,nan
74.920,1771545805.9199297,18:03:25,nan
75.920,1771545806.9199073,18:03:26,nan
76.920,1771545807.9199045,18:03:27,nan
77.920,1771545808.9199047,18:03:28,nan
78.920,1771545809.919945,18:03:29,nan
79.920,1771545810.9199052,18:03:30,nan
80.920,1771545811.9199064,18:03:31,19.12
81.920,1771545812.9199069,18:03:32,nan
82.920,1771545813.9199054,18:03:33,nan
83.920,1771545814.9199047,18:03:34,nan
84.920,1771545815.9199555,18:03:35,nan
85.920,1771545816.9199288,18:03:36,nan
86.920,1771545817.9199252,18:03:37,nan
87.920,1771545818.9199243,18:03:38,nan
88.920,1771545819.9199266,18:03:39,nan
89.920,1771545820.9199212,18:03:40,nan
90.920,1771545821.9199266,18:03:41,20.07
91.920,1771545822.9199262,18:03:42,nan
92.920,1771545823.9199312,18:03:43,nan
93.920,1771545824.9199305,18:03:44,nan
94.920,1771545825.9199328,18:03:45,nan
95.920,1771545826.9199321,18:03:46,nan
96.920,1771545827.9199102,18:03:47,nan
97.920,1771545828.9199636,18:03:48,nan
98.920,1771545829.9199467,18:03:49,nan
99.920,1771545830.9199107,18:03:50,nan
100.920,1771545831.9199083,18:03:51,20.18
101.920,1771545832.9199305,18:03:52,nan
102.920,1771545833.9199088,18:03:53,nan
103.920,1771545834.9199092,18:03:54,nan
104.920,1771545835.919912,18:03:55,nan
105.920,1771545836.919911,18:03:56,nan
106.920,1771545837.9199092,18:03:57,nan
107.920,1771545838.919929,18:03:58,nan
108.920,1771545839.919926,18:03:59,nan
109.920,1771545840.9199076,18:04:00,nan
110.920,1771545841.9199188,18:04:01,21.19
111.920,1771545842.919907,18:04:02,nan
112.920,1771545843.9199076,18:04:03,nan
113.920,1771545844.9199066,18:04:04,nan
114.920,1771545845.9199228,18:04:05,nan
115.920,1771545846.9199083,18:04:06,nan
116.920,1771545847.9199083,18:04:07,nan
117.920,1771545848.9199085,18:04:08,nan
118.920,1771545849.9199064,18:04:09,nan
119.920,1771545850.9199066,18:04:10,nan
120.920,1771545851.919921,18:04:11,21.32
121.920,1771545852.9199095,18:04:12,nan
122.920,1771545853.9199107,18:04:13,nan
123.920,1771545854.91991,18:04:14,nan
124.920,1771545855.9199111,18:04:15,nan
125.920,1771545856.919916,18:04:16,nan
126.920,1771545857.9199193,18:04:17,nan
127.920,1771545858.9199305,18:04:18,nan
128.920,1771545859.9199293,18:04:19,nan
129.920,1771545860.919933,18:04:20,nan
130.920,1771545861.9199135,18:04:21,21.63
131.920,1771545862.9199111,18:04:22,nan
132.920,1771545863.9199088,18:04:23,nan
133.920,1771545864.9199069,18:04:24,nan
134.920,1771545865.919905,18:04:25,nan
135.920,1771545866.9199321,18:04:26,nan
136.920,1771545867.919935,18:04:27,nan
137.920,1771545868.9199388,18:04:28,nan
138.920,1771545869.919928,18:04:29,nan
139.920,1771545870.9199266,18:04:30,nan
140.920,1771545871.9199092,18:04:31,21.69
141.920,1771545872.9199214,18:04:32,nan
142.920,1771545873.919906,18:04:33,nan
143.920,1771545874.9199092,18:04:34,nan
144.920,1771545875.9199092,18:04:35,nan
145.920,1771545876.9199193,18:04:36,nan
146.920,1771545877.9199119,18:04:37,nan
147.920,1771545878.9199069,18:04:38,nan
148.920,1771545879.919911,18:04:39,nan
149.920,1771545880.9199116,18:04:40,nan
150.920,1771545881.9199104,18:04:41,20.30
151.920,1771545882.9199352,18:04:42,nan
152.920,1771545883.9199445,18:04:43,nan
153.920,1771545884.9199128,18:04:44,nan
154.920,1771545885.91991,18:04:45,nan
155.920,1771545886.9199078,18:04:46,nan
156.920,1771545887.9199104,18:04:47,nan
157.920,1771545888.9199116,18:04:48,nan
158.920,1771545889.9199262,18:04:49,nan
159.920,1771545890.9199286,18:04:50,nan
160.920,1771545891.9199097,18:04:51,18.36
161.920,1771545892.9199092,18:04:52,nan
162.920,1771545893.9199076,18:04:53,nan
163.920,1771545894.9199076,18:04:54,nan
164.920,1771545895.9199073,18:04:55,nan
165.920,1771545896.9199078,18:04:56,nan
166.920,1771545897.9199088,18:04:57,nan
