Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM
2.402,1771607045.401823,11:04:05,18.49
2.772,1771607045.7724738,11:04:05,nan
3.769,1771607046.7691693,11:04:06,nan
4.769,1771607047.7691462,11:04:07,nan
5.769,1771607048.7691512,11:04:08,nan
6.769,1771607049.7691305,11:04:09,nan
7.769,1771607050.7691393,11:04:10,nan
8.769,1771607051.7691257,11:04:11,nan
9.769,1771607052.76912,11:04:12,nan
10.769,1771607053.769119,11:04:13,nan
11.769,1771607054.7691169,11:04:14,22.39
12.769,1771607055.7691166,11:04:15,nan
13.769,1771607056.7691166,11:04:16,nan
