Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM,Is_New_Value
0.588,1765495678.5875833,17:27:58,10.57,True
1.587,1765495679.5870092,17:27:59,nan,True
2.587,1765495680.5869918,17:28:00,nan,True
3.587,1765495681.5869777,17:28:01,nan,True
4.587,1765495682.5870104,17:28:02,nan,True
5.587,1765495683.5870323,17:28:03,nan,True
6.587,1765495684.586967,17:28:04,nan,True
7.587,1765495685.5869713,17:28:05,nan,True
8.587,1765495686.5869708,17:28:06,nan,True
9.587,1765495687.5869882,17:28:07,nan,True
10.587,1765495688.5870006,17:28:08,11.46,True
11.587,1765495689.5869772,17:28:09,nan,True
12.587,1765495690.5869677,17:28:10,nan,True
13.587,1765495691.5869722,17:28:11,nan,True
14.587,1765495692.586971,17:28:12,nan,True
15.587,1765495693.5869744,17:28:13,nan,True
16.587,1765495694.5869918,17:28:14,nan,True
17.587,1765495695.586997,17:28:15,nan,True
18.587,1765495696.586973,17:28:16,nan,True
19.587,1765495697.5869727,17:28:17,nan,True
20.587,1765495698.586978,17:28:18,9.59,True
21.587,1765495699.5869725,17:28:19,nan,True
22.587,1765495700.586968,17:28:20,nan,True
23.587,1765495701.586987,17:28:21,nan,True
24.587,1765495702.5869935,17:28:22,nan,True
25.588,1765495703.5880973,17:28:23,nan,True
26.587,1765495704.586972,17:28:24,nan,True
27.587,1765495705.5869732,17:28:25,nan,True
28.587,1765495706.5869699,17:28:26,nan,True
29.587,1765495707.5869703,17:28:27,nan,True
30.587,1765495708.5869863,17:28:28,12.01,True
31.587,1765495709.586971,17:28:29,nan,True
32.587,1765495710.586965,17:28:30,nan,True
33.587,1765495711.5869677,17:28:31,nan,True
34.587,1765495712.5869677,17:28:32,nan,True
35.587,1765495713.5870013,17:28:33,nan,True
36.587,1765495714.586995,17:28:34,nan,True
37.587,1765495715.586999,17:28:35,nan,True
38.587,1765495716.586994,17:28:36,nan,True
39.587,1765495717.5869718,17:28:37,nan,True
40.587,1765495718.5873926,17:28:38,5.81,True
41.587,1765495719.5869696,17:28:39,nan,True
42.587,1765495720.5869706,17:28:40,nan,True
43.587,1765495721.586972,17:28:41,nan,True
44.587,1765495722.5869837,17:28:42,nan,True
45.589,1765495723.589334,17:28:43,nan,True
46.587,1765495724.5870016,17:28:44,nan,True
47.587,1765495725.5869703,17:28:45,nan,True
48.587,1765495726.5869653,17:28:46,nan,True
49.587,1765495727.5869656,17:28:47,nan,True
50.587,1765495728.5871809,17:28:48,10.03,True
51.587,1765495729.5869668,17:28:49,nan,True
52.587,1765495730.5869663,17:28:50,nan,True
53.587,1765495731.5869675,17:28:51,nan,True
54.587,1765495732.5869684,17:28:52,nan,True
55.587,1765495733.5870085,17:28:53,nan,True
56.587,1765495734.5869675,17:28:54,nan,True
57.587,1765495735.5869937,17:28:55,nan,True
58.587,1765495736.5869896,17:28:56,nan,True
59.587,1765495737.5869925,17:28:57,nan,True
60.587,1765495738.5869918,17:28:58,4.67,True
61.587,1765495739.5869746,17:28:59,nan,True
62.587,1765495740.586971,17:29:00,nan,True
63.587,1765495741.5869703,17:29:01,nan,True
64.587,1765495742.586971,17:29:02,nan,True
65.587,1765495743.586974,17:29:03,nan,True
66.587,1765495744.5869703,17:29:04,nan,True
67.587,1765495745.5869691,17:29:05,nan,True
68.587,1765495746.5869656,17:29:06,nan,True
69.587,1765495747.5869684,17:29:07,nan,True
70.587,1765495748.5869758,17:29:08,16.36,True
71.587,1765495749.5869944,17:29:09,nan,True
72.587,1765495750.5869873,17:29:10,nan,True
73.587,1765495751.5870156,17:29:11,nan,True
74.587,1765495752.5870204,17:29:12,nan,True
75.587,1765495753.5871437,17:29:13,nan,True
76.587,1765495754.5869925,17:29:14,nan,True
77.587,1765495755.5869875,17:29:15,nan,True
78.587,1765495756.5869713,17:29:16,nan,True
79.587,1765495757.5869663,17:29:17,nan,True
80.587,1765495758.5869734,17:29:18,16.89,True
81.587,1765495759.5869718,17:29:19,nan,True
82.587,1765495760.586965,17:29:20,nan,True
83.587,1765495761.5869856,17:29:21,nan,True
84.587,1765495762.5869842,17:29:22,nan,True
85.587,1765495763.5870178,17:29:23,nan,True
86.587,1765495764.5869727,17:29:24,nan,True
87.587,1765495765.586963,17:29:25,nan,True
88.587,1765495766.586964,17:29:26,nan,True
89.587,1765495767.5869637,17:29:27,nan,True
90.587,1765495768.5869756,17:29:28,15.77,True
91.587,1765495769.5869932,17:29:29,nan,True
92.587,1765495770.586998,17:29:30,nan,True
93.587,1765495771.586974,17:29:31,nan,True
94.587,1765495772.586968,17:29:32,nan,True
95.587,1765495773.5869777,17:29:33,nan,True
96.587,1765495774.5869768,17:29:34,nan,True
97.587,1765495775.586971,17:29:35,nan,True
98.587,1765495776.587237,17:29:36,nan,True
99.587,1765495777.5869734,17:29:37,nan,True
100.587,1765495778.587356,17:29:38,14.49,True
101.587,1765495779.5869703,17:29:39,nan,True
102.587,1765495780.5869708,17:29:40,nan,True
103.587,1765495781.5869691,17:29:41,nan,True
104.587,1765495782.5869815,17:29:42,nan,True
105.587,1765495783.5870032,17:29:43,nan,True
106.587,1765495784.5869696,17:29:44,nan,True
107.587,1765495785.5869677,17:29:45,nan,True
108.587,1765495786.5869842,17:29:46,nan,True
109.587,1765495787.586997,17:29:47,nan,True
110.587,1765495788.5870154,17:29:48,13.13,True
111.587,1765495789.5869842,17:29:49,nan,True
112.587,1765495790.586974,17:29:50,nan,True
113.587,1765495791.5869665,17:29:51,nan,True
114.587,1765495792.586972,17:29:52,nan,True
115.587,1765495793.587023,17:29:53,nan,True
116.587,1765495794.58699,17:29:54,nan,True
117.587,1765495795.5869813,17:29:55,nan,True
118.587,1765495796.5869699,17:29:56,nan,True
119.587,1765495797.5869684,17:29:57,nan,True
120.587,1765495798.5869873,17:29:58,13.32,True
121.587,1765495799.5869725,17:29:59,nan,True
122.587,1765495800.5869908,17:30:00,nan,True
123.587,1765495801.5869718,17:30:01,nan,True
124.587,1765495802.5869699,17:30:02,nan,True
125.587,1765495803.5869954,17:30:03,nan,True
126.587,1765495804.5869734,17:30:04,nan,True
127.587,1765495805.586971,17:30:05,nan,True
128.587,1765495806.5869915,17:30:06,nan,True
129.587,1765495807.5869896,17:30:07,nan,True
130.588,1765495808.587884,17:30:08,13.40,True
131.587,1765495809.5869756,17:30:09,nan,True
132.587,1765495810.5869734,17:30:10,nan,True
133.587,1765495811.5869703,17:30:11,nan,True
134.587,1765495812.5869725,17:30:12,nan,True
135.587,1765495813.586981,17:30:13,nan,True
136.587,1765495814.5869968,17:30:14,nan,True
137.587,1765495815.5869915,17:30:15,nan,True
138.587,1765495816.586993,17:30:16,nan,True
139.587,1765495817.5869734,17:30:17,nan,True
140.587,1765495818.587015,17:30:18,14.03,True
141.587,1765495819.5869706,17:30:19,nan,True
142.587,1765495820.5869725,17:30:20,nan,True
143.587,1765495821.5869684,17:30:21,nan,True
144.587,1765495822.5869968,17:30:22,nan,True
145.587,1765495823.5869813,17:30:23,nan,True
146.587,1765495824.586971,17:30:24,nan,True
147.587,1765495825.5869732,17:30:25,nan,True
148.587,1765495826.5869725,17:30:26,nan,True
149.587,1765495827.58698,17:30:27,nan,True
150.588,1765495828.5878594,17:30:28,14.35,True
151.587,1765495829.5872903,17:30:29,nan,True
152.587,1765495830.5869699,17:30:30,nan,True
153.587,1765495831.5869722,17:30:31,nan,True
154.587,1765495832.586969,17:30:32,nan,True
155.587,1765495833.5869982,17:30:33,nan,True
156.587,1765495834.5869756,17:30:34,nan,True
157.587,1765495835.5869894,17:30:35,nan,True
158.587,1765495836.5869706,17:30:36,nan,True
159.587,1765495837.5869792,17:30:37,nan,True
160.587,1765495838.5870152,17:30:38,13.64,True
161.587,1765495839.5869706,17:30:39,nan,True
162.587,1765495840.5869694,17:30:40,nan,True
163.587,1765495841.58699,17:30:41,nan,True
164.587,1765495842.5869918,17:30:42,nan,True
165.587,1765495843.5870254,17:30:43,nan,True
166.587,1765495844.586995,17:30:44,nan,True
167.587,1765495845.5869718,17:30:45,nan,True
168.587,1765495846.5869677,17:30:46,nan,True
169.587,1765495847.5869732,17:30:47,nan,True
170.587,1765495848.5869765,17:30:48,14.40,True
171.587,1765495849.586979,17:30:49,nan,True
172.588,1765495850.5879557,17:30:50,nan,True
173.587,1765495851.5870032,17:30:51,nan,True
174.587,1765495852.5870578,17:30:52,nan,True
175.587,1765495853.587029,17:30:53,nan,True
176.587,1765495854.587001,17:30:54,nan,True
177.587,1765495855.586969,17:30:55,nan,True
178.587,1765495856.5869656,17:30:56,nan,True
179.587,1765495857.5869675,17:30:57,nan,True
180.587,1765495858.5869858,17:30:58,16.63,True
181.587,1765495859.5869727,17:30:59,nan,True
182.587,1765495860.5869708,17:31:00,nan,True
183.587,1765495861.586969,17:31:01,nan,True
184.587,1765495862.5869691,17:31:02,nan,True
185.587,1765495863.586986,17:31:03,nan,True
186.587,1765495864.5869677,17:31:04,nan,True
187.587,1765495865.5869944,17:31:05,nan,True
188.587,1765495866.586998,17:31:06,nan,True
189.587,1765495867.5869944,17:31:07,nan,True
190.587,1765495868.587018,17:31:08,15.37,True
191.587,1765495869.5869792,17:31:09,nan,True
192.587,1765495870.586986,17:31:10,nan,True
193.587,1765495871.5870006,17:31:11,nan,True
194.587,1765495872.586988,17:31:12,nan,True
195.587,1765495873.5870073,17:31:13,nan,True
196.587,1765495874.5869734,17:31:14,nan,True
197.587,1765495875.586968,17:31:15,nan,True
198.587,1765495876.5869658,17:31:16,nan,True
199.587,1765495877.5869677,17:31:17,nan,True
200.587,1765495878.586978,17:31:18,13.79,True
